file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
chilean_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,476.4,2019.9,2936.9,13.4,-77,-135.8,-21.1,198.9,-35.4,-7,64.2,35.6,-53.3,-31.6,35.8,25.9,157.1,96.4
chilean_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,494.3,1718.8,2667.3,-45.1,201.4,25.5,64.5,13.5,124.5,-7.6,-50,-72.6,53.4,232.3,80.1,31.2,272,146.9
chilean_mismatch_interrogative-total-yn_El-nino-oye-el-rio,479,1744.3,2663.1,-15.3,190.1,242.9,-14.6,2.3,24.5,-60,441.6,97.7,4.1,-108.5,-140.7,14.2,283.4,107.7
chilean_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,512.5,1812.9,2429.2,103.7,-201.6,-140.5,22.6,50.9,-34.5,17.5,-110.2,-75,-9.4,-8.3,52.4,18.7,201.5,218.8
chilean_mismatch_interrogative-total-yn_La-nina-lava-el-plato,535.9,1608.1,2602.8,-87,279.4,12.5,-42,-75.1,106.1,-3.2,147.1,-19.7,-20.5,-68.5,-106.4,79.4,79.3,-51.6
chilean_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,584.9,1739.6,2822.3,-70.9,120.1,-124.5,-78.9,102.9,175.8,11.5,102.6,169.7,-29.1,34.2,1.1,-162.5,-34.9,-49.4
chilean_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,478.7,1743.1,2762.4,-83.3,391.6,139,-6.5,-312,57,21.4,146.8,-38.9,-37.5,53.8,57.6,-1.4,126.1,61.4
chilean_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,555.4,1953.6,2745.6,37.5,121.2,96.1,-14.3,322.7,38.2,-127.3,274.5,232.4,20.2,-82.8,162,-39.6,-301.4,-32.9
chilean_question_filler_Mi-padre-cantaba-bien,491.7,1903.7,2654.4,47,-66,-35.8,-93.6,216.2,360.1,31.2,112.8,-127.5,-70.3,-201.1,-225.9,-24.2,247.5,219.7
cuban_match_declarative-broad-focus_Ana-lleva-el-abrigo,576.9,1876.3,2641.8,132.7,113,-17.5,37.1,-124.1,160,74.3,13.8,12.8,81.8,-276.5,-56.7,-81.8,198.2,78.5
cuban_match_declarative-broad-focus_Daniel-iba-a-Bolivia,474.7,1932.3,2612.3,109.8,134.6,75.3,-6.4,176.5,-86.7,37.8,118.9,33.4,32.8,-541.5,-111.1,91.2,-12.4,-21
cuban_match_declarative-broad-focus_David-leia-el-libro,450.3,1989.6,2596.9,115.4,156.2,35.8,36.7,-434.5,-190.6,48,31.8,13.5,49.3,-53.6,-18.7,49.2,78.4,-77.2
cuban_match_declarative-broad-focus_Emilio-ama-la-marcha,662.1,1899.9,2800.2,-125.8,181.3,66.6,-144.2,240.7,-141.7,6.5,-106.4,-80.9,43.6,-244.4,14,116.6,-149.9,5
cuban_match_declarative-broad-focus_Manuela-vende-el-carro,555.8,1779.8,2435.9,36.3,-142.5,-34.9,-31.7,-230.5,-121.7,-38.3,88.5,62.6,-96.6,-58.7,-39.5,83,-89.1,-33.5
cuban_match_declarative-broad-focus_Maria-bebe-el-vino,489.6,1947.1,2592.8,107.9,-63.1,-60.2,-38.2,-143.1,-20,-43.2,-34.7,34.8,-8.6,-472,-435.4,-18.1,71,61.3
cuban_match_declarative-broad-focus_Mariano-habla-del-tiempo,567.2,1761.2,2475.4,97.9,90.4,50,-100.6,-73.8,6.6,-8.8,147.6,30.2,15.7,-437.6,-114.3,19.3,-94.9,-36.9
cuban_match_declarative-broad-focus_Marta-abre-el-regalo,618,1815.1,2557.9,39.8,-37.4,37.4,17.4,-158.9,-61.9,-93.4,130.7,17.5,-65.2,-149.7,-58.3,71,-116,-102.9
cuban_match_declarative-narrow-focus_Ana-lleva-el-abrigo,524.7,1912.4,2732,181.4,169.6,54.7,-31.5,-121.5,179.2,85.6,32.7,72.5,73,-297.8,-42.9,39.8,40.3,-22.5
cuban_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,485.7,2005.3,2695.9,107.6,78.1,126.1,-15.1,210.5,-145.4,38.4,19,93,70.2,-487.2,-95.5,40.8,111.1,90.3
cuban_match_declarative-narrow-focus_David-leia-el-libro,458.6,2079.1,2630.1,53,65.3,-17.3,40.5,-369.6,-188.6,27.1,-6.3,8.4,76.9,-84.7,-114.3,9.9,54.9,-4.3
cuban_match_declarative-narrow-focus_Emilio-ama-la-marcha,570.2,1925,2659.7,-85.6,217.1,-20.6,-67,304.7,-14.2,-16.2,-212.2,-97.9,99,-152.8,6.1,7,-134.8,-54.8
cuban_match_declarative-narrow-focus_Manuela-vende-el-carro,516.6,1772,2426.8,66.6,-54.8,0.1,-89.1,-310.6,-195.5,83.3,65,-3.9,-180,-8.7,-3.5,25.4,-72.6,-72.6
cuban_match_declarative-narrow-focus_Maria-bebe-el-vino,477.9,1923.7,2518.7,122.5,-5,123.1,-19.3,-96.2,-116.6,7,106.4,167.7,-15.4,-272.1,-150,82,-166,-40.3
cuban_match_declarative-narrow-focus_Mariano-habla-del-tiempo,507.1,1692.1,2249.5,201.1,259.9,34,-81.4,-343.5,-151.6,35.9,326.4,197.3,-8.7,-11.7,-91.8,27.5,-145.1,-94.9
cuban_match_declarative-narrow-focus_Marta-abre-el-regalo,545.3,1760.9,2468.1,134.6,116.3,179.1,-92.9,-302.3,-146.4,117.1,43.8,48.2,-136.6,-43.7,-57.1,-15.4,-79.7,-48.7
cuban_match_interrogative-partial-wh_Cuando-bebia-el-vino,466.9,1854.1,2869.4,147.5,-393.7,308.5,59.1,-221.8,268,57.9,120.9,240.2,12.9,-126.6,-97.4,-7.5,-65.6,-77.4
cuban_match_interrogative-partial-wh_Cuando-leia-el-libro,493,1900.5,2606.5,90.4,-7,113.3,55.5,-515,-197.6,-19.6,-77.4,123.2,51.5,-128.9,23.1,55.3,74.3,59.9
cuban_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,488,1545.9,2015.7,99.7,-74.3,-242,-60.8,-279.3,-48.7,59.7,-62.8,-49.6,65.7,-259.4,-287.9,30.4,160.7,311.2
cuban_match_interrogative-partial-wh_Cuando-vendia-el-carro,518.2,1622.9,2154.7,2.7,-86.4,-58.5,-9.2,-324.8,-314.7,136.2,65.8,7.2,-105.6,-30.3,-24.7,71.2,45,125.3
cuban_match_interrogative-partial-wh_Por-que-abre-el-regalo,554.7,1792.9,2456.2,16.6,1.4,27.6,-78.3,-220.3,-74.2,10.5,-2,96.2,-84.9,-222,-43.1,160.7,-162.5,-75.2
cuban_match_interrogative-partial-wh_Por-que-ama-la-navidad,626,1709,2451.8,7.1,-29.5,141.9,-65.9,-13.5,91.9,-185.8,-228,-138.9,35.5,-86.2,135,-21.5,-251.8,-23.3
cuban_match_interrogative-partial-wh_Por-que-hablaba-del-agua,638.4,1586.3,2602,-96.1,177.2,-209,-37.6,-161.7,-74.1,-28.7,-57.6,24.2,37.1,-40,25.7,-58.1,-302.1,-25.3
cuban_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,517,1810.9,2588.6,111.8,-227.3,77.9,-39,-12.2,-20.1,-90.8,-67.4,7.2,-54.8,-502.1,-82.4,-20.8,-68.3,-6.8
cuban_match_interrogative-total-yn_Ana-lleva-el-abrigo,554.1,1813.9,2586.2,181.7,225.8,124.1,30,-215.1,-32.9,52.1,197.6,240.8,77.1,-374.8,-123.2,78.6,-36.6,105.8
cuban_match_interrogative-total-yn_Daniel-iba-a-Bolivia,567.6,1998.7,2716.9,30.7,100.1,47.1,88.6,262.3,52.4,-8.5,-81.4,-34.9,114.3,-484.2,-63.5,-13.1,95.4,-97.5
cuban_match_interrogative-total-yn_David-leia-el-libro,461.5,2032.8,2692.1,80,186.7,99.2,10.7,-462.8,-201.5,24.9,2.8,122.8,-5.5,-138.9,-19.4,42.6,35.8,30.8
cuban_match_interrogative-total-yn_Emilio-ama-la-marcha,584.5,1819.6,2581.3,-10.2,38.1,9.8,-172.1,153.5,-213.5,-6.2,60,-10.6,-43.3,-190.1,-170.1,118.6,-27.1,78.5
cuban_match_interrogative-total-yn_Manuela-vende-el-carro,607.6,1811.8,2496.6,40.4,40.8,161.7,21.8,-317.3,-145.2,97.9,143.7,179.1,-122.3,3.7,37.3,65.9,-29.8,-5
cuban_match_interrogative-total-yn_Maria-bebe-el-vino,473.8,1894,2543.8,87.7,-82,40.3,-53.8,-270.5,-263.6,-39.3,52.4,100.1,-60.4,-431.5,-318.2,-6.5,-49.6,-88.3
cuban_match_interrogative-total-yn_Mariano-habla-del-tiempo,547.5,1791.2,2582.1,143,227.5,146.3,-63.5,-283.7,-128.8,5.5,316.4,140.2,-34.1,-257.5,5.4,29.6,-138.3,-16.1
cuban_match_interrogative-total-yn_Marta-abre-el-regalo,583.8,1762.4,2461.8,50.2,115.6,57.7,-26,-296.5,-72.5,72.9,102.8,83.4,-171.7,-114.6,-218.8,-2.5,-64.6,24.3
cuban_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,426.2,1905.6,2734.2,148.1,-43,-313.2,-101.1,173.7,174.2,37.5,137.2,-134.1,-46.6,-34.2,-58.3,-11.3,139.6,175.6
cuban_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,471.8,1738.4,2409.9,79.6,138.4,107.1,-107.7,-77.9,-241.3,144.2,42.7,259.4,-6.2,261,167.1,-62.8,146.7,4.3
cuban_mismatch_declarative-broad-focus_El-nino-oye-el-rio,472.7,1996.1,2990.4,33.2,105.6,141.8,-99.4,218.6,-113,31.9,234,-71.6,44.9,-416.4,-172.5,40.1,2.1,-70.3
cuban_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,507.2,1856.2,2413.8,137.9,-47.5,-61.2,-54.5,-16.9,27,9.4,-172.6,-130.5,-83.8,65.1,122.5,72.6,126.8,217.8
cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato,595.5,1910.2,2786.8,-46.4,227.8,123,-18.9,26.4,58.9,-5.3,-160.5,-299.9,52.4,-176.7,-289.2,87.1,-84.9,-117.6
cuban_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,542.5,1598.2,2433.4,25.5,-125.8,-73.4,-64.6,-75.9,-59.4,-38,-181,-72.1,-22.1,-134.8,-43.1,-126.3,-101.3,9.7
cuban_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,509.9,1735.5,2568.8,-50.2,143,0.6,-15,-308.6,-78.3,37.4,218.4,87.6,-112.5,-81.8,-90.1,37.4,-93.9,-93.4
cuban_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,482.5,1957,2746.1,37.9,174.6,59.1,-113.5,79.4,-115.9,-34.5,-67,-60.2,42.2,-220.6,-110.7,34,-390.3,-149.9
cuban_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,552.2,1906.6,2594.9,28.6,-115.1,-62.1,-69.6,131.5,24.4,-2.3,-147.2,-129.8,-12.8,-128.4,-49.4,21.3,-113.6,8.7
cuban_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,496.7,1783,2467.3,14.4,64.4,27.6,-14.7,64.8,23.7,97.1,118.3,193.7,28.4,270.1,48.5,-83.1,72.1,-56.5
cuban_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,482.2,2117.4,2796.5,63.6,321.7,87.7,-77.2,69.6,30.5,30.3,125.3,-57.7,18.2,-426.8,-50.2,31.8,107.9,27.6
cuban_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,530.5,1969.4,2683.7,86.5,-157.7,-139.3,61.9,115.4,108.5,-63.6,-240.1,-130.4,-15.6,-76.2,63.4,-15.9,-111.4,-100.4
cuban_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,599.2,1939.7,2766.9,-37.8,284.9,200.5,-26.5,91.8,103,58.2,-73.8,-99,85.7,-184.3,-82.1,94.2,-46,-23.3
cuban_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,566.5,1746.5,2620.9,-40.3,-20.2,14.9,-53,46,32.9,-43.3,-45.2,-80.6,-61.6,-39.9,-17.4,-68.3,85.5,79.7
cuban_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,517.3,1776.4,2610.5,-73,157.8,-98.6,28.7,-153.8,-83.2,-36.9,329,104.2,-57.2,-81.6,-88.1,-15.2,-76.7,-66.6
cuban_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,512,1944.2,2787.1,14.4,202.7,172.4,-108.6,114,-122.7,-72.9,-23.5,-110.7,56,-113.9,-30.6,21.1,-428.4,-97.2
cuban_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,507.6,1413.4,1977.1,86.1,-24.3,-78.8,-115.6,-152.5,-245.7,58.4,-66,-33.7,68,207.2,100.5,12.2,64.1,18.7
cuban_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,566.6,1561.2,2814.6,37.9,-52.8,0.6,5.4,-74.5,283.4,3,97.9,-36,-146.1,-111.6,-142.3,163.9,-123,-2.2
cuban_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,512.3,1663.6,3010.4,97.3,68.9,-35.7,-107,-14.8,352.4,37.7,-160.9,24.3,61.5,-30.8,83.5,154.1,-91.9,-18.7
cuban_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,496,1893.9,2738.6,76.2,-145.4,118.7,-31.6,-60.7,48.1,7.7,-353.7,-293.4,-31.5,-205.1,-18,0.5,61.3,105.1
cuban_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,530.8,1743.2,2725.4,7.2,-75.9,1.3,-60.3,-83.2,-78.7,-45.1,-179.7,-46.3,66.9,-51.2,-103.9,-53.9,-178.7,20.7
cuban_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,538.8,1852.1,2698.2,-14.4,-279.1,-48.2,-64,-207,-6.4,16,11.6,-9,1.1,-284.9,-5.6,19.8,70.8,50.8
cuban_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,579,1701.1,2688,-38.3,55,-47.9,-28.5,-475.9,-250,9.9,-63.1,-2.3,-70.9,-126.6,37.4,14.9,15.9,30.7
cuban_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,631.1,1966.1,2788.9,-322.3,-289.4,-355.4,282.4,-61.1,244.7,-209,-196.1,-171.8,144.5,-156.5,109.3,-111.8,43.7,32.7
cuban_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,459.6,1868.2,2585.8,88.5,-44.7,-75.6,-46.3,75.2,-9.5,31.4,195.8,55.5,-56.9,-132.5,-5.3,32.7,16.4,-20.2
cuban_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,549.5,1754.6,2550.4,-33.9,80.6,-119.7,-36,-133.7,-133.3,81.3,54.8,161.3,10.8,234.6,117.4,-54.8,79.9,-10.4
cuban_mismatch_interrogative-total-yn_El-nino-oye-el-rio,495.4,2022.3,3104.3,-15,103.8,200.9,-64.3,44.3,155,-11.9,188,108.2,61.5,-431.2,-280.1,31.8,-174.2,-265
cuban_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,489.7,1724.3,2217.1,95.5,-102.4,-247.8,27.1,129.2,181.4,55,-58.6,-94.7,-40.2,-203.8,-264,16.3,18.8,41.1
cuban_mismatch_interrogative-total-yn_La-nina-lava-el-plato,606.2,1866,2647.2,-53.9,269.8,274,-0.8,-65.3,74.5,-4.7,-177.2,-20.2,25.1,-166.1,66,-22.1,62.3,9.9
cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,597.2,1737.6,2529.3,-68.8,-34.2,-83.1,-78.2,31.8,107.1,8.8,-68.1,-66.5,-132.8,-102.8,-119.3,-16.7,51.1,-61.4
cuban_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,537.5,1746.9,2612.7,-40.6,213.8,156.8,-1.7,-309.2,-59.6,37.5,273.8,219.4,-93.4,87,-22,-6.9,60.3,43.1
cuban_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,479.1,1697,2369.4,-12.5,52.5,91.7,-97.9,-69,71.9,-43.3,-21.1,13.3,27.5,-130.1,-193.9,28.8,-274.4,-84.8
cuban_statement_filler_Cocinabas-por-la-noche,531.1,1492.7,2049,87.7,-4.3,-89.4,-122.2,-0.5,78.4,-69.5,-199,-248.9,97.1,-256.5,-36.1,-24.9,-300.2,-259
mexican_match_declarative-broad-focus_Ana-lleva-el-abrigo,495.7,1693.8,2486.8,76.7,284.1,119.2,-26.2,-74.7,-154.6,16.6,81.3,-72.9,48,-199.6,-170.4,16.6,-34,-48.9
mexican_match_declarative-broad-focus_Daniel-iba-a-Bolivia,479.6,2015.6,2834.9,30.2,32.9,127.1,-31.3,216.9,141.5,-1.1,-298.9,-55.7,52.7,-307.4,23.8,-66.5,172.9,-3.9
mexican_match_declarative-broad-focus_David-leia-el-libro,435.7,2025,2763.9,27.7,56.4,228,-5.1,-310.6,-111.5,33.8,93.8,160.4,26.2,29.1,55.8,-23.2,-52.9,112.9
mexican_match_declarative-broad-focus_Emilio-ama-la-marcha,536.8,1778.4,2476,-75.3,130.3,-24.1,4.4,278.7,207.1,-29.7,-30.1,45.5,71,-36.6,83.6,-15.1,-220,-341.8
mexican_match_declarative-broad-focus_Manuela-vende-el-carro,551,1799.4,2703.9,-66,-24.1,-56.5,46.2,-166,-146.1,-36.2,93.1,6.1,-64.3,-36.5,13.4,52.5,-58.8,-24.9
mexican_match_declarative-broad-focus_Maria-bebe-el-vino,453.8,1890.9,2551.7,61,5.6,102.1,-1,-10.7,-142.4,-19.5,97.8,64.9,-44.1,-181.7,-216,11.8,-87.9,-96.3
mexican_match_declarative-broad-focus_Mariano-habla-del-tiempo,485.2,1784.6,2660.6,75.1,-1.5,-45.5,-29.5,-6.5,-97.5,-62.7,133.8,3.1,-3.7,-201.7,-216.6,-10.7,-100.9,-215.9
mexican_match_declarative-broad-focus_Marta-abre-el-regalo,524.3,1728.8,2603,38,-62.7,-12.6,-26.5,-28.9,-72.8,-41.1,45.6,-11.8,-100.6,-104.3,-181.7,40.3,-1.7,-130
mexican_match_declarative-narrow-focus_Ana-lleva-el-abrigo,510,1754.6,2508.9,56.2,95.5,40.4,2.4,-9.6,-276.5,24.9,-38.5,-253.4,37.8,-215.3,-273.6,-15.6,-1.3,-79.1
mexican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,463.2,1914.7,2765.6,24,-62,104.1,-31.6,100.4,155.2,-14.1,-366.2,-31.1,41,-408.5,3.6,-49.5,25.6,-7.9
mexican_match_declarative-narrow-focus_David-leia-el-libro,425.9,1850.9,2671.8,14.9,-80,125.8,13.4,-375.8,-211,7.5,-120.4,-3.8,34.2,-81.9,39.4,-8.9,-134.6,-19.9
mexican_match_declarative-narrow-focus_Emilio-ama-la-marcha,535.5,1811,2642.7,-105.2,124.1,-66.5,59.8,230,117.3,-61.9,-94.7,-164.5,37,-25.4,114.4,-1.3,-89.5,-50.5
mexican_match_declarative-narrow-focus_Manuela-vende-el-carro,511.9,1801.1,2664.9,-34.7,4.2,161.8,37,-202.5,-189,-28.8,72.8,146.6,-15.6,-40.7,38.1,22.1,-54.1,64.7
mexican_match_declarative-narrow-focus_Maria-bebe-el-vino,484.2,1943.1,2764.8,52.5,-31.9,68.5,16.3,71.7,42.3,-78.9,55.5,31,-16.3,-225.7,-56.8,-7.6,-56.9,-19.3
mexican_match_declarative-narrow-focus_Mariano-habla-del-tiempo,494.6,1768,2691.3,53,8,-24.1,14.9,-111.2,-93.9,-67.8,178.9,13.4,-3.9,-189.1,-32.5,0.1,-86.6,-221.4
mexican_match_declarative-narrow-focus_Marta-abre-el-regalo,521.7,1750.6,2728.1,54.4,-103.9,43.3,-26.3,-98.1,-15.6,-8.4,108.8,123.5,-85.1,-100.6,-60.6,17.6,-24.2,-137.5
mexican_match_interrogative-partial-wh_Cuando-bebia-el-vino,483.7,1839.4,2644.3,0.6,-154.1,18.9,107.7,-216.6,-38.5,-27.3,68.5,14.8,74.3,51.1,108.2,-15.1,84.8,-45
mexican_match_interrogative-partial-wh_Cuando-leia-el-libro,470.1,1848.1,2559.9,35.2,-20.2,86.1,32.1,-477.4,-270,-2,31.8,63.3,28.2,41.1,-14.5,11,63.3,78.4
mexican_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,496.7,1719.7,2654.6,28.7,99.2,335.3,3.7,-132,-86.1,20.1,-41.3,-107.1,89.1,-244.9,-181.6,0.1,56,-59
mexican_match_interrogative-partial-wh_Cuando-vendia-el-carro,565.5,1843.3,2739.5,-72.2,-41,3.8,17.4,-339.7,-133.8,100.1,-41.1,-2.3,-36.2,59.8,13.3,-16.3,0.5,-36.3
mexican_match_interrogative-partial-wh_Por-que-abre-el-regalo,518.9,1736.4,2527.2,41,1.1,-36.2,-8.3,-62.1,-32.2,-28.9,0.6,79.1,-108.4,-191.3,-125.9,35.2,-157.9,-74.6
mexican_match_interrogative-partial-wh_Por-que-ama-la-navidad,502.5,1744,2662.4,34.3,-123.9,-112.6,-49.9,-23.7,26.5,3.1,34.6,-40.3,-6.9,-141.8,9.9,24,-77.3,33.7
mexican_match_interrogative-partial-wh_Por-que-hablaba-del-agua,549.6,1644.6,2655.2,23.6,189.6,0.4,-64.3,-117.9,-159.8,-32.9,43,88.7,-23.9,-121.2,18.8,6.8,-222,-114.8
mexican_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,495.9,1851.7,2653.5,39,-99.4,-19,-0.3,89.9,-20.1,-33.2,-352,-184.1,54.7,-404.6,15.2,-65.6,57.7,-83.8
mexican_match_interrogative-total-yn_Ana-lleva-el-abrigo,490.2,1758.4,2676.3,41.4,190,325.9,-0.6,29,43.7,-6.1,149.4,69.1,54.7,-212,-129.9,-1.2,-60.7,-128.4
mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia,459.8,1921.3,2797.3,7.5,79.8,106,15.8,180.9,184.7,-48,-179.5,-61.5,63.6,-352.4,94.3,-52.6,150.8,-47.7
mexican_match_interrogative-total-yn_David-leia-el-libro,454.6,1856.9,2495.3,-31.3,71.1,113.1,0.5,-524.6,-430.6,-0.6,-29.9,-82.1,81.5,-116.8,-129.7,-15.5,-99.4,-43.9
mexican_match_interrogative-total-yn_Emilio-ama-la-marcha,563.9,1786.8,2649.9,-93.6,80.6,-123,17.6,339.9,138.3,-47.7,68.1,-91.7,32.7,41.9,208,56.1,-23.6,44.4
mexican_match_interrogative-total-yn_Manuela-vende-el-carro,526.1,1832.5,2704.8,-21.3,29.1,72.6,17.7,-183.8,-136.9,-22.1,129.9,32.5,-68.9,-22.2,-52.6,54.5,-115.1,-104.4
mexican_match_interrogative-total-yn_Maria-bebe-el-vino,476.6,1905.5,2770.9,26.1,5.4,-89.7,34,21.8,62.5,-81.1,123,-126.5,0,-234.2,-118.2,2.7,-145.2,-197
mexican_match_interrogative-total-yn_Mariano-habla-del-tiempo,491.2,1702.9,2584.4,63.6,94.4,51.2,-18.1,-91.4,-189.1,-77.3,268.6,146.6,54.6,-205.2,-18.5,12.9,-40.9,-137
mexican_match_interrogative-total-yn_Marta-abre-el-regalo,546.5,1693.1,2555.6,41.5,2.4,163.9,12.4,-60.9,-85.1,-43.4,51.7,-2.5,-66.9,-77.5,-207.8,31.9,-56.9,-163.2
mexican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,462.8,1905.4,2624.1,42.7,-149.3,-99.7,-56.4,144.8,129.3,8.7,90.6,33.3,12.8,-17.2,115.8,40.3,25.6,-14.7
mexican_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,481,1760.4,2494.1,-5.1,93.6,83.6,-8.8,-66.1,-62.1,33,5,166,21,255.7,200.6,-17.5,80.3,31
mexican_mismatch_declarative-broad-focus_El-nino-oye-el-rio,465,2030.4,2777.3,33.6,134.7,57.4,-20.5,166.7,25,-38.2,244.3,244.5,44.6,4.9,119.1,28.7,-101,-83.9
mexican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,489.6,1903.3,2687,41.5,-116.8,32.2,26,33.7,95,-55.6,-210.9,-272.5,-6.1,24.1,40.9,-21.3,51.7,105.3
mexican_mismatch_declarative-broad-focus_La-nina-lava-el-plato,530.6,1878.4,2987.4,13.6,149.8,213.8,-1.9,64.4,111.7,-44.3,0.1,-89.6,6.2,-137.2,-178.8,85,-109.1,-71.7
mexican_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,519.4,1737.5,2572,-20.2,121.9,-40.1,-13.9,93,28.4,-9.2,8.9,-27.6,-42.3,-36.5,-73,-60.6,-5.5,-103.1
mexican_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,496.9,1796,2630.8,-30.3,223.7,45.1,-12.9,-190,-159.2,-13.8,103,154.3,-45.1,-18.9,-56.5,17.9,13.7,-54
mexican_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,488.2,1981.5,2820,19.1,38.7,19.3,-90.4,168.6,-40,-77.5,66,1.7,15.5,-75.6,-62.9,9.4,-169.1,-68.7
mexican_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,459.6,1851.3,2534.3,6.7,-27,33.2,-40.2,151.3,52.4,5.1,122.6,119.6,-6.4,-34.2,-20.4,28.1,168.8,179.7
mexican_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,514.8,1921.4,2743,-34,162.8,-41,5.8,89.4,121.6,39.6,186.9,210.1,11.5,269.6,220.3,-29.8,58.2,-47.7
mexican_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,452.7,2029.8,2726.2,20.2,199,52.7,-21.1,91.7,62.9,-27.2,91.8,195.7,56.1,-145.4,-78.8,21.7,-15.8,-101
mexican_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,476.4,1838.5,2636.2,48.7,-129.1,33.1,2.1,7.7,109.3,-32,-187.5,-152.7,-20.9,142.5,87.2,33.1,-12.6,14.3
mexican_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,530.4,1890.2,2867.2,-26.6,185.6,68.2,-18.4,34.1,72.5,-19.4,-9.1,97.5,12.2,-148.2,111,71.2,-7.5,256
mexican_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,522.9,1587.4,2447,-18.8,-208.2,-52.5,-53.3,-199.6,-84.5,-42,-252.6,-16.9,-1.7,-280.8,0.2,-36.3,-140.4,9.3
mexican_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,482.1,1745.7,2714,-22.1,188.6,38.4,2.4,-271.3,-60.7,-8.5,99.8,143.1,-50.9,-8.8,51.8,38.3,27.2,-32.9
mexican_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,495.6,1837.4,2728.4,7.4,-116.2,-27.5,-82.4,22.1,-131.7,-79.8,-69.3,-59.8,30.3,-190.6,-74.1,23.6,-299.4,-108.9
mexican_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,507.9,1478.6,2144.1,36,-32.5,-247.9,-26.4,-114.7,-147.5,10.3,157.5,102.9,-0.1,29.2,25,-66.4,-101,-113.6
mexican_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,577.3,1678,2712.6,-4.2,-49.5,-51,37.8,93.1,28.7,-14.8,11.8,-27.2,12.7,-186.7,-168.9,34,-156.4,-79.1
mexican_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,502.9,1757.3,2650.1,31.6,59.6,91.5,-77.9,67.7,53.6,28.8,-133.7,69.6,35.4,-163.8,-4.7,51.3,-54,-11.9
mexican_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,470.7,1940.8,2652.1,3.6,-147.8,62.9,-32.3,-16,-38.4,5,-115.1,-159.1,-0.2,-210.7,-195.4,-43.6,82.4,92
