file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,525.8,1729.7,2802.1,-59,196.2,137.1,88.2,-28.8,-26.7,50.8,-73.9,-34,38.6,308.7,122.1,46.9,-214.7,-61.3
andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,545.7,1975.3,2826.3,-76.8,148.9,87.7,44.4,140.3,1.8,-111.4,97.4,26,82.8,-228.6,-105.9,-9.8,-298.8,-84.2
andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,500.2,2042.8,2864.6,-32.9,-128.1,-82,109.7,272.7,134,-102,126.6,13.2,120.4,-29.5,67.7,-15.2,5.3,-44.6
andalusian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,628.4,1954.8,2974.8,-32.5,71.5,6.1,195,201,194.9,131.2,-76.5,73.2,160,470.6,197.6,105,40.5,21.3
andalusian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,487.3,2020.4,2824.4,-83.5,222.9,179.4,41.7,91.2,124,24.4,63,-14.6,93.5,46.2,53.7,-4.4,-166.7,-117.8
andalusian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,555.5,1955.3,2828.6,95.6,-187.7,-77,77.1,86.3,107.1,-127.8,-120.7,-14,-35.1,-91.2,18.6,-50.1,214.8,153.6
andalusian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,703.1,1789.6,2756.5,-65.4,192.9,99.5,110.6,220.7,145.8,136,-116,-24.8,23.6,-132.8,-34.7,-48.8,106.3,-2.8
andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,616.3,1763.6,2714.5,-88.4,68.8,-66.7,37.5,157.5,41.7,-24.3,25.6,-3.8,-36.4,16.8,-8.1,-45.8,-102.9,38.2
andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,464.3,1717,2714.6,-98.4,336.9,64.8,-15.8,-238,-6.2,17.3,4.8,-6.8,-38.9,108.7,-41.5,-1,-143.8,-83.9
andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,509.5,1959.3,2826,-63.8,130.9,113.8,-23.3,134.3,11.3,-122.6,71.9,17.8,1.4,-119.4,-92.2,37.3,-294.9,-99.3
andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,602.7,1534.3,2711.2,-69,-136,-17.2,92.8,-20.5,-11.7,-2.6,16.2,-11.8,61.3,169.7,-79.1,-73.8,-86,23
andalusian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,606,1480.1,2675.1,14.8,-43.9,76.8,5.7,75.1,74.3,69.8,134.5,43.1,-13.4,-110.1,19.7,81.5,22.3,-25.2
andalusian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,598.8,1623.8,2756.3,73.5,15.9,178.9,43.3,105.2,99.1,19.3,-87.9,37.5,124.1,139.7,51.4,86.5,-29.8,-53.1
andalusian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,476.7,1944.7,2799.9,59.3,-160.3,-65.5,12.4,-200.7,-114.4,-39.9,-200.6,15.4,6.9,-83.1,-46.1,23.5,199.9,110.7
andalusian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,566.4,1758.8,2722.5,10.6,-148.4,14.9,4.7,-55.5,-21.1,-11.2,85.9,85.8,111.8,-105.2,-71.5,-0.9,65.2,59.8
andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,504,1639.7,2630.4,43.8,-78.8,-86,11,-199,-88.1,-24.8,220,42,40,-119.1,40.2,0.9,17.1,163.9
andalusian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,600.7,1876.2,2872.6,-5.8,75.7,31.5,49,-108.8,79.8,71.1,-303.8,-97.9,92.1,484.6,362.8,1.4,-87.9,54.5
andalusian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,466.4,2048.4,2814.3,28.3,-273.2,-114.2,40.2,-151.9,50.5,70.5,-205.2,21.4,6.3,64.1,70.6,-32.7,354.2,237.3
andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,471,2088.6,2946.8,45,-68.8,-73.1,25.8,282.2,133,7.4,177.5,46.7,78.6,-184.4,60.4,61.5,1.4,-10.8
andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,542.1,1809.2,2839.4,9.2,260.1,80.9,63.3,86.6,206,116.5,106.6,80.4,94.9,259.3,115.4,-15.6,-27.1,-13.8
andalusian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,510.8,1970.9,2858.8,34.9,341.9,150.1,62.2,-34,-25.6,73,169.8,-54.5,109.8,-186.3,-58.9,48.8,-117.2,17.6
andalusian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,561.6,1904.9,2805.6,122.9,-51.2,1,21.4,82.5,72.9,-42.7,-62.8,30.4,-25.3,113.6,117.7,41.5,176.3,127.6
andalusian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,558.2,1569.4,2722.8,-14.8,187.8,210,-44.6,99.1,71.6,113.5,274.6,8.4,37.8,-79.3,-61.3,13.5,-59.1,21.1
andalusian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,582.2,1659.7,2763.1,-53.2,128,75.8,-10.5,44.5,-27.3,24.6,165.1,57.2,-20.6,-51.1,-69,-108.8,-65.9,85.1
andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,571.4,1866.1,3003.7,-107.5,304.1,107.8,42.9,135.5,283.1,28.4,242.8,11.2,45.6,182.1,133.7,18.7,-363.4,-131.5
andalusian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,512.1,2036.9,3020.6,-3.3,199.3,189.1,6.6,77.4,-3.2,-77.1,52.3,-1.8,99.2,-239.4,-118.1,70.4,-312.7,-2.9
andalusian_statement_filler_Alberto-nunca-se-afeita,586,1693.3,2732.3,-47.3,-108.2,27.4,58.1,238.1,-10.9,76.4,74.9,1.5,60.2,-258.6,-67.3,-62.6,38.6,-28.4
argentine_match_declarative-broad-focus_Ana-lleva-el-abrigo,554.1,1569.9,2500.2,91.2,10.7,3.6,11.6,-37.2,18.3,20.9,8.4,-122.9,58.2,-264.1,-146.9,-14.1,162.3,70
argentine_match_declarative-broad-focus_Daniel-iba-a-Bolivia,483.6,1713.2,2523.6,-11.8,-18.1,-101.1,33.1,86.9,-140.7,-71.8,-190.6,-135.3,63,-352.9,-150,-126.2,297.1,-14.6
argentine_match_declarative-broad-focus_David-leia-el-libro,457.9,1810.7,2543.3,26.5,30.4,-27.8,80.8,-313.4,-210.4,-27.9,45.9,-47.5,74.7,-19.8,-14.8,-42.3,4.3,11.3
argentine_match_declarative-broad-focus_Emilio-ama-la-marcha,564.5,1643.6,2545.6,-134.3,238.3,37.8,-2.6,177.7,157.3,11.3,-71.6,-122,76.3,-89.8,-15.9,6.8,-116.8,-14.2
argentine_match_declarative-broad-focus_Manuela-vende-el-carro,565.6,1534.6,2380,-40.3,53.2,24.9,40.8,-196.9,-153.5,-0.4,39.2,12.4,-6.3,-63.8,8.3,65.3,-25.9,-3.2
argentine_match_declarative-broad-focus_Maria-bebe-el-vino,562.6,1818.9,2655.1,194.4,11.9,35.4,206.7,97.6,354.7,44.4,100.8,43.8,204.8,-182.2,115.6,71.6,24,3.4
argentine_match_declarative-broad-focus_Mariano-habla-del-tiempo,537.1,1633.9,2568.9,70.2,82,-9.1,4.6,-122.1,-59.1,-2.1,233.1,88.1,70.2,-245.1,-29.3,16.9,-172.6,-161.2
argentine_match_declarative-broad-focus_Marta-abre-el-regalo,616.5,1552.2,2467.5,110.2,-63.9,40.8,59,-9.5,-23.1,10.8,175.6,30.8,38.4,49.8,74.9,45.1,58.1,-50
argentine_match_declarative-narrow-focus_Ana-lleva-el-abrigo,556.9,1558.8,2450.9,32.2,9.6,-6.8,39.2,-41.5,38.7,-31.2,22.7,-85,83.3,-219.4,-119,-45.8,116.9,48.7
argentine_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,476.8,1737.2,2571.1,-28.4,8.7,67.5,38.3,107.8,10.9,-78.1,-155.2,-65.8,82.5,-396.5,-128.9,-99,252.1,7.8
argentine_match_declarative-narrow-focus_David-leia-el-libro,454.9,1831.5,2570.6,18.3,70.9,-4.3,78.4,-270.1,-123.8,-2.9,67,10,105.7,-50.9,-34.2,-3.5,18.8,-31
argentine_match_declarative-narrow-focus_Emilio-ama-la-marcha,564.9,1603.8,2477.1,-53.4,259.7,31.7,12,159.7,123.7,6.7,-176,-176.8,131.7,-111.8,75.5,38.8,-89.6,-78.3
argentine_match_declarative-narrow-focus_Manuela-vende-el-carro,582.9,1541.3,2424.4,0.4,52.1,73.2,72.7,-98,-36,22.7,60.5,2.9,46.5,-4.5,-7.3,75.9,-3.7,-19.4
argentine_match_declarative-narrow-focus_Maria-bebe-el-vino,504.7,1779.2,2531.4,-22.1,-58.9,-33.9,43.6,-28.5,25,-105.4,-85,-133.3,102.8,-253,-148.3,-65.6,1.4,-77.6
argentine_match_declarative-narrow-focus_Mariano-habla-del-tiempo,530.4,1633,2534.3,38.2,19.9,-16,1,-75.3,-107.7,-9.8,208.5,99.3,66.2,-317.6,-127.3,-9.1,-126.8,-158
argentine_match_declarative-narrow-focus_Marta-abre-el-regalo,605.6,1503.9,2387.1,31.3,-111.6,-91.9,37.8,5,-40.3,-54.9,90.8,-2,11.1,-29.2,39.1,21.5,47.4,-62.1
argentine_match_interrogative-partial-wh_Cuando-bebia-el-vino,491.8,1682.1,2649,90.2,-249.7,-34,106.2,-68.5,241.9,-48,156.5,8,83.6,143.8,119.9,-48.5,61.5,-22.4
argentine_match_interrogative-partial-wh_Cuando-leia-el-libro,488.2,1690.8,2541.7,58.5,-173.9,-13.6,91.8,-357.8,-134.1,-22.1,104.9,46.7,80.9,70.8,-51.1,-30.8,76.5,-27.6
argentine_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,541.4,1511.5,2443.4,33.2,-33.1,-9.1,30,-118,50.2,-9.7,43.1,-56.9,87.2,-220.1,-78.5,-33,233.2,154.4
argentine_match_interrogative-partial-wh_Cuando-vendia-el-carro,549.4,1454.8,2510,-23.7,-28.6,15.2,54.4,-367.9,-116.3,55.5,84.1,53.9,-19.6,142.4,45.8,5.7,-38,-47.8
argentine_match_interrogative-partial-wh_Por-que-abre-el-regalo,557.1,1536.7,2357.9,-3.8,-107.6,39.4,21.2,-93.5,92.6,-8.3,-30.2,-1.7,40.1,-93.4,-34.8,24,82.1,10.5
argentine_match_interrogative-partial-wh_Por-que-ama-la-navidad,567.6,1573.9,2488.2,-4.3,-110.8,-215.7,34.4,-46,97.2,-58.8,-16.8,-58.2,50.5,-189.9,-7.5,35.2,-50.1,-56.1
argentine_match_interrogative-partial-wh_Por-que-hablaba-del-agua,557.8,1419.5,2405.6,-38.1,191,58.8,-18.1,-105.4,-86.2,-40.7,25.7,107.4,26.8,-247.2,-77.8,-27.5,-143,-67.4
argentine_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,509.3,1655.4,2531.6,-2.3,-136.6,-5.5,61.6,112.3,50,-81.6,23.4,93.2,111.6,-456.8,0.2,-29.8,23.3,-53.8
argentine_match_interrogative-total-yn_Ana-lleva-el-abrigo,576.3,1517,2502.5,85.9,189.3,24.1,77.2,-195,10.4,-22.7,175.4,-3.9,54.2,-214.9,-157.1,1.4,-88.7,-46
argentine_match_interrogative-total-yn_Daniel-iba-a-Bolivia,514,1710,2582.2,2.8,30.3,8.3,26.8,32,33.2,-63.3,-14.1,-42.8,23.7,-391.5,-77.3,-17.3,25.8,-95.3
argentine_match_interrogative-total-yn_David-leia-el-libro,460.4,1731.6,2507.5,-17.4,121.4,4.2,50.4,-402.2,-190.3,-37.7,-24.5,-42,19.8,-7.9,-7.7,-20.7,-30.1,-26.9
argentine_match_interrogative-total-yn_Emilio-ama-la-marcha,566.2,1580.9,2480.3,-88.3,240.4,-7.3,-37.6,208.6,123.3,21.1,-11.6,-53,68,-130.1,-41.4,25.5,-104.1,-25.9
argentine_match_interrogative-total-yn_Manuela-vende-el-carro,558,1463.2,2431.1,-25.1,169.9,-24.7,13.3,-266.3,-80.5,8.1,75.3,-84.2,-40.2,16.8,-1.6,16.8,-58.5,0.6
argentine_match_interrogative-total-yn_Maria-bebe-el-vino,479.8,1697.6,2502,64.1,119.4,53.3,54.5,-138.4,-25.4,-40.1,133.1,50.7,54.1,-282.2,-177.4,46.6,-127,-83.5
argentine_match_interrogative-total-yn_Mariano-habla-del-tiempo,556.8,1586.4,2500.6,92.2,197.2,4.4,61.2,-169.6,-71.5,16.1,230.6,12.5,110,-79.6,42.8,22.6,-243.4,-157.7
argentine_match_interrogative-total-yn_Marta-abre-el-regalo,561.7,1482.4,2409.1,37.8,24.1,-52.5,35.3,-206,-20.7,-27.4,202.2,14.2,-28.9,27.3,106.8,-5.2,68,-12.6
argentine_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,492.7,1722.5,2506.9,35.5,-60,22.2,-7.6,121,48.2,8.5,100,11.4,41.3,30.3,126.5,9.4,11.9,67.2
argentine_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,499.2,1594.3,2412.5,-11.1,114.1,106.2,37.8,-4.7,-14.1,-16.6,121.1,20.1,57.7,234.2,98.9,-65.4,11.2,-25.8
argentine_mismatch_declarative-broad-focus_El-nino-oye-el-rio,511.1,1692,2630.5,-31.6,200.4,184.4,14.8,124.1,2.4,-29.8,112.8,44.3,137.6,-234.4,-70.7,30.8,-19.2,0.6
argentine_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,572.6,1732.1,2593,79.4,-120.9,-68.5,39.6,44.6,120.5,-55,-149,-185.3,-26.2,19.7,27,-13,157.9,80.3
argentine_mismatch_declarative-broad-focus_La-nina-lava-el-plato,554.9,1685.6,2627.8,-48,217,44.2,31.5,21.7,76.6,25.1,-101.6,7.2,60.2,-124.8,-13.1,-21.6,84.6,43
argentine_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,534.7,1534,2563,-41.9,104.2,-5.7,-8.3,6.5,-7.2,-77.5,33.5,-46,31,33.6,-72.9,-68.3,-9.4,35.4
argentine_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,495.7,1517.1,2441.7,-92.1,171.1,-42.1,38.5,-180,-123.1,-45.5,237.2,48.2,-14.7,25.3,-22.9,-25.7,-30.4,-24.1
argentine_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,545.7,1743,2658,-4.3,214.5,26.4,-34.2,146.5,37.4,-20.1,55.6,62.1,21,-64,-49.3,60.7,-306.3,-62.1
argentine_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,476.8,1706,2547.8,0.6,-64.3,-50.7,-24.4,150.2,67,-6.4,10.8,18.1,6.4,22.5,84.8,-14.6,113,40.3
argentine_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,514.6,1587.4,2400.9,16.2,108.5,81.7,52.8,-1.7,14.2,-8.9,15.6,-3.3,68.9,216.6,144.1,-45.5,51.4,12.5
argentine_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,480.4,1519.1,2477.1,-11.9,-154.3,18.5,44.8,113.2,44.6,3.3,211.6,39.2,173.3,151.7,-23.7,18.5,246.5,82.7
argentine_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,565.5,1733.7,2596.5,69.9,-141.7,-44.8,73.5,68.5,174.3,-61.5,-24.1,-69.7,30,-88,-29.9,-45.3,213.6,100.5
argentine_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,543.6,1647,2609.6,-79.4,221.2,116.9,35.3,9.1,116.4,19.2,-76.8,-19.9,28.5,-154.4,-50,-2.3,64.7,74.3
argentine_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,543.6,1539.1,2534.3,-51.4,68.6,-56.8,13.6,34.6,55.3,-76.5,42.2,-48.4,24.8,59,-41.2,-103.1,-59.9,-72.7
argentine_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,524,1551.5,2405.8,-93.7,265.6,43.1,35.7,-258.3,-84.2,-12.7,79.6,19.7,-4.1,53,82.9,-54.8,47.5,29.1
argentine_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,490.5,1749.5,2618.7,-45.8,211.2,-3.6,-47.3,80.6,-50.8,-19.3,-28.9,16.2,9.2,31.7,-65.3,-62.3,-314.1,-45.7
argentine_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,560.4,1479.7,2620.4,16.1,-113.7,-106.6,44.9,-163.7,86.8,-2,5.5,-24.2,65.7,144.2,-29.9,-72.8,6.2,3
