file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
andalusian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,215.4,1.24,*,1,Magenta,55,6200,489,1373,2733,465,2218,2782,598,2024,3073,502,1350,2418,569,2472,3119
andalusian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,205.4,1.12,*,1,Black,56,5900,456,1431,2721,405,2182,2746,389,2352,2828,464,1997,2805,340,2249,2955
andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,208.6,1.278,*,1,Lime,57,6500,552,2355,2992,465,2083,2785,466,1416,2893,408,2448,2964,436,2172,3087
andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,206.8,1.268,*,1,Purple,58,6350,521,2363,3000,432,1617,2697,539,1924,2734,443,1709,2702,490,1546,2870
andalusian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,205.5,1.472,*,1,Teal,59,5750,563,2377,2998,382,2529,3041,472,1848,2870,445,2046,2705,507,1244,2690
andalusian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,231.1,1.314,*,1,Navy,60,6050,685,1983,2957,634,1971,2672,478,1843,2750,487,1778,2754,436,2092,2903
andalusian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,211.5,1.36,*,1,Pink,61,5450,403,1913,2952,360,1131,2867,693,1560,2614,645,1652,2629,461,1141,2574
andalusian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,219.1,1.306,*,1,Maroon,62,5750,397,1765,2794,490,1732,2850,492,1675,2735,420,1674,2838,631,1591,2749
andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,244.3,1.37,*,1,Olive,63,6500,377,2573,3391,465,1544,2879,533,1948,2909,574,1876,2773,573,1229,3093
andalusian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,205.4,1.426,*,1,Grey,64,6200,353,2353,3211,449,2564,3248,493,1958,2914,366,2179,2956,536,1836,2861
