file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato,159,1.172,*,1,Olive,297,6200,484,1971,2625,496,2402,3680,635,1729,2492,556,1749,2650,547,1677,2767
cuban_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,155.8,1.316,*,1,Grey,298,5600,464,1378,2284,581,1977,2607,578,1404,2438,439,1653,2417,326,1732,2611
cuban_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,170.8,1.352,*,1,Red,299,5750,430,1937,2632,495,1645,2492,474,2062,2512,550,1911,2749,560,1264,2452
cuban_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,161.5,1.418,*,1,Blue,300,6200,441,2386,2880,522,2413,2921,559,1678,2900,406,1951,2628,349,1907,2648
cuban_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,172,1.048,*,1,Green,301,5750,516,1813,2504,566,2210,2753,545,1441,2590,574,1803,2556,493,2237,2725
cuban_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,185.4,1.17,*,1,Magenta,302,5450,587,2172,2634,476,1644,2297,486,1828,2437,508,1743,2617,296,1778,2265
cuban_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,164.9,1.19,*,1,Black,303,5600,480,2361,2829,510,2584,2844,576,1650,2711,466,2068,2767,386,1478,2738
cuban_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,166,1.154,*,1,Lime,304,5900,698,1638,2671,625,2045,2670,406,1843,2624,473,1774,2537,414,2365,2966
cuban_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,173.3,1.112,*,1,Purple,305,5900,586,2115,2915,402,2228,2857,685,1767,2650,588,1778,2579,659,1795,2793
cuban_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,178.9,1.206,*,1,Teal,306,5750,435,1563,2631,703,1812,2793,542,1653,2604,674,1782,2541,438,1779,2689
cuban_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,170.8,1.266,*,1,Navy,307,5450,467,2170,2500,533,1573,2535,452,2044,2568,498,1950,2811,634,1465,2566
cuban_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,172.3,1.25,*,1,Pink,308,6350,414,2295,2804,566,2339,2999,589,1779,2950,432,2019,2594,411,1946,2585
cuban_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,180.4,0.978,*,1,Maroon,309,5000,576,1398,1721,512,1193,1935,654,1724,2269,398,1107,1970,235,1461,1917
cuban_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,177.9,1.168,*,1,Olive,310,6350,542,1561,3199,686,1487,2720,557,1735,2497,775,1682,2822,507,1576,2993
cuban_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,201.9,1.118,*,1,Grey,311,7550,545,1675,3383,523,1910,2720,668,1649,2682,460,1413,3011,258,1685,3334
cuban_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,197.8,1.304,*,1,Red,312,6200,490,1035,2780,544,2089,2919,472,1833,2735,453,1671,2547,436,2372,2787
cuban_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,190.8,1.326,*,1,Blue,313,5900,474,1456,2603,530,1932,2790,632,1632,2693,444,2009,2731,409,1932,2637
cuban_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,195.7,1.244,*,1,Green,314,5750,505,1435,2569,518,2078,2744,516,1943,2786,537,2073,2575,413,1883,2747
cuban_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,175.3,0.988,*,1,Magenta,315,6200,462,1090,2489,637,1899,2569,633,2033,2982,623,1830,2805,556,1322,2491
cuban_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,188.6,1.038,*,1,Black,316,5750,461,1308,2625,455,1940,2474,441,1817,2830,404,2072,2665,1469,2239,3462
cuban_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,206,1.244,*,1,Lime,317,6050,507,2017,2544,539,1857,2521,412,1848,2687,448,1961,2625,246,1715,2753
cuban_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,199.2,1.06,*,1,Purple,318,5750,561,1739,2442,374,1702,2288,602,2003,2822,584,1786,2788,530,1656,2483
cuban_mismatch_interrogative-total-yn_El-nino-oye-el-rio,186.5,1.006,*,1,Teal,319,7100,426,2147,3283,421,2390,3148,595,1550,2725,450,2166,3108,465,1654,2839
cuban_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,200.6,1.354,*,1,Navy,320,4850,708,1730,1941,553,1693,2200,398,1504,1979,519,1860,2332,241,1849,2414
cuban_mismatch_interrogative-total-yn_La-nina-lava-el-plato,188.8,1.138,*,1,Pink,321,5600,528,1915,3027,512,2375,2839,666,1739,2534,572,1717,2529,710,1658,2518
cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,183.3,1.216,*,1,Maroon,322,5600,392,1476,2454,701,1808,2513,588,1503,2317,751,1772,2515,467,1792,2745
cuban_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,191.3,1.308,*,1,Olive,323,5900,511,1914,2908,468,1570,2486,580,2050,2766,634,1965,2689,554,1095,2611
cuban_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,180.7,1.164,*,1,Grey,324,4850,379,1751,2612,557,2065,2548,548,1684,2127,458,1851,2382,405,1645,2282
cuban_statement_filler_Cocinabas-por-la-noche,147,1.202,*,1,Red,325,4700,472,1159,1912,682,1861,2021,604,1385,1717,449,1615,1988,355,1608,2317
mexican_match_declarative-broad-focus_Ana-lleva-el-abrigo,198.8,1.042,*,1,Blue,326,5300,634,1876,2236,502,1912,2557,604,1742,2675,404,1775,2385,437,1266,2163
mexican_match_declarative-broad-focus_Daniel-iba-a-Bolivia,202.5,1.138,*,1,Green,327,6950,440,2028,2997,481,2462,2951,559,1569,2664,377,1991,2711,396,2128,2767
mexican_match_declarative-broad-focus_David-leia-el-libro,202.3,1.048,*,1,Magenta,328,6800,503,1882,2841,414,2033,2829,448,2370,2859,394,2225,2833,396,1636,2317
mexican_match_declarative-broad-focus_Emilio-ama-la-marcha,211.5,1.23,*,1,Black,329,5750,445,2239,2749,443,1694,2482,636,1507,2202,438,1616,2062,658,1874,2770
mexican_match_declarative-broad-focus_Manuela-vende-el-carro,208.9,1.102,*,1,Lime,330,6650,537,1715,2570,555,1759,2695,452,1957,2879,406,1889,2721,584,1598,2646
mexican_match_declarative-broad-focus_Maria-bebe-el-vino,192.6,1.034,*,1,Purple,331,6200,483,1839,2616,520,1857,2605,445,1912,2580,406,2131,2738,417,1742,2131
mexican_match_declarative-broad-focus_Mariano-habla-del-tiempo,210.9,1.168,*,1,Teal,332,6500,574,1809,2484,637,1698,2925,438,1654,2762,380,2002,2904,387,1625,2415
mexican_match_declarative-broad-focus_Marta-abre-el-regalo,182.6,1.074,*,1,Navy,333,5750,587,1672,2574,664,1731,2763,448,1642,2694,530,1856,2650,443,1760,2660
mexican_match_declarative-narrow-focus_Ana-lleva-el-abrigo,207.3,1.006,*,1,Pink,334,5600,619,1745,2024,492,2167,2986,578,1696,2656,427,1693,2334,443,1523,2235
mexican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,188.1,1.048,*,1,Maroon,335,6800,432,1960,2933,439,2408,2854,537,1521,2569,384,2059,2719,402,2055,2772
mexican_match_declarative-narrow-focus_David-leia-el-libro,189.2,1.036,*,1,Olive,336,6050,491,1686,2567,374,1916,2804,475,2244,2893,382,2031,2698,415,1679,2362
mexican_match_declarative-narrow-focus_Emilio-ama-la-marcha,206,1.092,*,1,Grey,337,6350,444,2174,2771,476,1793,2709,501,1667,2781,506,1563,2220,734,1854,2932
mexican_match_declarative-narrow-focus_Manuela-vende-el-carro,209.6,1.162,*,1,Red,338,6650,465,1843,2840,523,1819,2814,451,1941,2850,417,1871,2706,563,1618,2326
mexican_match_declarative-narrow-focus_Maria-bebe-el-vino,200.7,1.028,*,1,Blue,339,6950,498,2088,2740,587,1963,2836,461,1776,2636,390,1946,2808,462,1964,2667
mexican_match_declarative-narrow-focus_Mariano-habla-del-tiempo,192.9,1.168,*,1,Green,340,6800,582,1959,2716,601,1675,2738,442,1715,2877,380,2016,2803,407,1521,2496
mexican_match_declarative-narrow-focus_Marta-abre-el-regalo,188.5,1.104,*,1,Magenta,341,6500,576,1651,2793,641,1685,2771,427,1768,2869,507,1903,2743,403,1718,2731
mexican_match_interrogative-partial-wh_Cuando-bebia-el-vino,210.9,1.008,*,1,Black,342,6500,537,1615,2779,453,1611,2539,398,2168,2846,395,2007,2506,514,1764,2783
mexican_match_interrogative-partial-wh_Cuando-leia-el-libro,251.4,0.976,*,1,Lime,343,5450,551,1471,2132,491,1788,2759,465,2271,2824,440,2234,2728,443,1528,2163
mexican_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,217.5,1.104,*,1,Purple,344,6800,532,1637,2773,486,2075,3110,559,1689,2645,415,1774,2413,465,1388,2362
mexican_match_interrogative-partial-wh_Cuando-vendia-el-carro,228.2,0.972,*,1,Teal,345,6800,547,1658,2658,482,1967,2802,455,2192,2825,619,1834,2708,578,1648,2645
mexican_match_interrogative-partial-wh_Por-que-abre-el-regalo,224.9,1.076,*,1,Navy,346,5750,431,1524,2444,656,1900,2568,446,1678,2643,566,1802,2593,463,1680,2680
mexican_match_interrogative-partial-wh_Por-que-ama-la-navidad,228.4,1.14,*,1,Pink,347,6050,481,1612,2592,584,1647,2856,552,1709,2872,453,1883,2718,579,1750,2842
mexican_match_interrogative-partial-wh_Por-que-hablaba-del-agua,236.7,1.16,*,1,Maroon,348,6350,454,1705,2609,545,1722,2706,662,1643,2851,568,1732,2769,430,1257,2455
mexican_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,240.1,1.188,*,1,Olive,349,5900,492,1499,2566,411,2402,2802,544,1473,2670,398,1963,2552,494,2066,2668
mexican_match_interrogative-total-yn_Ana-lleva-el-abrigo,216.9,1.104,*,1,Grey,350,6800,562,1931,3060,487,1595,2597,469,1738,2543,424,1760,2558,464,1304,2503
mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia,207.1,1.274,*,1,Red,351,6800,422,1938,2853,443,2427,2878,480,1482,2607,356,2045,2615,515,1950,2927
mexican_match_interrogative-total-yn_David-leia-el-libro,224.3,1.156,*,1,Blue,352,5450,428,1654,2113,309,2087,2870,515,2240,2793,381,2205,2610,520,1515,2060
mexican_match_interrogative-total-yn_Emilio-ama-la-marcha,238.2,1.18,*,1,Green,353,6350,467,2301,2713,579,1562,2541,643,1593,2790,506,1606,2300,620,1824,2901
mexican_match_interrogative-total-yn_Manuela-vende-el-carro,237.2,1.21,*,1,Magenta,354,6950,501,1787,2707,567,1774,2776,472,1955,2825,435,1837,2761,542,1625,2527
mexican_match_interrogative-total-yn_Maria-bebe-el-vino,218.3,1.132,*,1,Black,355,7250,444,1955,2796,538,1758,2798,467,1788,2631,388,2037,2724,540,1767,3027
mexican_match_interrogative-total-yn_Mariano-habla-del-tiempo,223.5,1.304,*,1,Lime,356,6500,553,1835,2718,538,1653,2512,542,1625,2800,367,2003,2753,460,1285,2262
mexican_match_interrogative-total-yn_Marta-abre-el-regalo,226.3,1.094,*,1,Purple,357,6350,554,1704,2816,678,1750,2799,471,1722,2628,536,1726,2491,504,1649,2564
mexican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,223.7,1.14,*,1,Teal,358,6800,425,1854,2699,476,1813,2511,492,1692,2644,441,1906,2581,394,2124,2800
mexican_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,223.4,1.172,*,1,Navy,359,5450,520,1797,2753,452,1700,2298,477,2013,2722,443,1639,2720,471,1663,2139
mexican_mismatch_declarative-broad-focus_El-nino-oye-el-rio,220.9,1.034,*,1,Pink,360,6500,450,2383,3010,476,1871,2616,540,1600,2721,412,2066,2781,425,2031,2658
mexican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,218.3,1.146,*,1,Maroon,361,6050,467,1656,2641,554,2059,2989,461,1849,2577,453,1717,2317,382,2231,2997
mexican_mismatch_declarative-broad-focus_La-nina-lava-el-plato,213.3,1.046,*,1,Olive,362,7100,491,1985,2932,515,2063,3214,589,1749,2715,420,1773,2821,532,1682,2903
mexican_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,222.8,1.204,*,1,Grey,363,5750,429,1819,2384,530,1890,2684,448,1448,2463,626,1696,2660,485,1635,2732
mexican_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,219.3,1.09,*,1,Red,364,6800,433,2023,2682,527,1855,2551,492,2031,2831,492,1774,2809,508,1473,2473
mexican_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,213.7,1.092,*,1,Blue,365,6650,414,2127,2881,693,2071,2858,546,1891,2823,420,2121,2874,402,2025,2588
mexican_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,233.7,1.092,*,1,Green,366,5750,410,1804,2783,487,1706,2519,481,1742,2218,484,1990,2601,446,1892,2536
mexican_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,197.4,1,*,1,Magenta,367,6650,551,2439,2981,483,1534,2258,470,2019,2867,539,1790,2847,532,1815,2723
mexican_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,207.1,1.182,*,1,Black,368,5600,401,2254,2887,457,2171,2704,527,1726,2619,420,1952,2835,437,1908,2619
mexican_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,218.5,1.182,*,1,Lime,369,6050,517,1620,2801,522,1880,2845,456,1894,2606,427,1646,2444,374,2103,2811
mexican_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,211.3,1.074,*,1,Purple,370,6950,435,2033,2998,489,2166,2942,562,1685,2792,393,1917,2846,568,1668,2918
mexican_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,194.8,1.222,*,1,Teal,371,5450,398,784,2215,513,1930,2605,518,1472,2541,589,1734,2561,502,1691,2670
mexican_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,208.6,1.178,*,1,Navy,372,6650,450,1894,2770,497,1771,2587,475,2042,2854,455,1745,2823,500,1196,2570
mexican_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,196,1.16,*,1,Pink,373,5900,418,1498,2628,677,2057,2805,557,1718,2855,434,1993,2765,411,1937,2531
mexican_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,257.1,1.02,*,1,Maroon,374,4700,552,1553,1863,560,1337,1924,468,1706,2312,507,1595,2299,426,1531,2220
mexican_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,203.2,1.012,*,1,Olive,375,6350,617,1759,2754,571,1804,2817,571,1284,2485,385,1754,2764,608,1673,2745
mexican_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,216.9,1.004,*,1,Grey,376,6650,556,1814,2876,504,1970,2719,611,1568,2522,508,1698,2689,412,1802,2527
mexican_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,227.5,1.278,*,1,Red,377,6500,475,1581,2655,478,1985,2897,465,1826,2505,424,1975,2549,447,2140,2741
mexican_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,211.2,1.118,*,1,Blue,378,5750,449,1537,2585,565,1869,2738,579,1645,2624,374,2029,2555,505,1984,2851
mexican_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,219.4,1.034,*,1,Green,379,5750,473,1351,2356,608,1782,2683,488,2222,2780,416,1842,2696,551,1638,2528
mexican_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,236.9,1.016,*,1,Magenta,380,6350,468,1688,2525,518,1926,2733,617,2035,2981,572,1683,2637,476,1001,2073
mexican_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,240.4,1.118,*,1,Black,381,5750,439,1603,2561,373,2193,2540,512,1636,2444,415,2186,2678,459,2015,2871
mexican_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,228.8,1.196,*,1,Lime,382,6650,425,1867,2510,464,1806,2496,524,1909,2682,476,2054,2678,478,2028,2830
mexican_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,223.7,1.066,*,1,Purple,383,7250,474,1965,2847,353,1653,2273,503,1976,2871,501,1762,2787,491,1809,2949
mexican_mismatch_interrogative-total-yn_El-nino-oye-el-rio,210.2,1.104,*,1,Teal,384,6200,426,2409,2919,474,2081,2814,471,1686,2858,386,1871,2729,512,1684,2709
mexican_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,194.6,1.378,*,1,Navy,385,5900,607,1695,2797,552,1890,2843,437,1993,2583,403,1695,2356,405,2164,2938
mexican_mismatch_interrogative-total-yn_La-nina-lava-el-plato,222.4,1.196,*,1,Pink,386,6050,445,1920,2874,511,2098,2902,615,1637,2633,382,1653,2650,563,1508,2322
mexican_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,219.9,1.206,*,1,Maroon,387,6500,424,1855,2371,540,1867,2851,504,1519,2504,452,1713,2743,495,1664,2879
mexican_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,207.4,1.238,*,1,Olive,388,6650,426,2005,2635,411,1843,2555,471,1946,2868,479,1771,2784,505,1046,2247
mexican_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,209.6,1.138,*,1,Grey,389,6800,379,2302,2914,629,1864,2852,495,1767,2855,377,1955,2781,495,1986,2916
mexican_question_filler_Felipe-no-tiene-contrasena,229.8,1.362,*,1,Red,390,6350,478,2035,2769,490,1902,2904,506,2048,2767,529,1894,2721,532,2037,3135
peruvian_match_declarative-broad-focus_Ana-lleva-el-abrigo,111.7,1.28,*,1,Blue,391,5150,615,1537,2508,416,1718,2423,572,1538,2401,371,1795,2499,426,1013,2518
peruvian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,113.4,1.386,*,1,Green,392,5450,437,1708,2666,459,2100,2709,477,1259,2301,335,1580,2590,363,2082,2601
peruvian_match_declarative-broad-focus_David-leia-el-libro,107,1.374,*,1,Magenta,393,5900,500,1502,2620,284,2324,2918,360,2290,2869,318,2115,2603,442,1416,2435
peruvian_match_declarative-broad-focus_Emilio-ama-la-marcha,111.2,1.386,*,1,Black,394,5450,346,2082,2629,346,2174,2535,653,1413,2439,664,1392,2382,636,1438,2471
peruvian_match_declarative-broad-focus_Manuela-vende-el-carro,107.7,1.472,*,1,Lime,395,5300,471,1419,2470,559,1603,2519,453,1938,2696,414,1789,2470,562,1408,2376
peruvian_match_declarative-broad-focus_Maria-bebe-el-vino,107.3,1.304,*,1,Purple,396,4850,491,1473,2385,486,1625,2554,460,1690,2412,329,1893,2502,503,1420,2463
peruvian_match_declarative-broad-focus_Mariano-habla-del-tiempo,108.8,1.718,*,1,Teal,397,5300,510,1684,2435,576,1366,2478,526,1414,2499,384,1856,2752,427,968,2474
peruvian_match_declarative-broad-focus_Marta-abre-el-regalo,109.9,1.408,*,1,Navy,398,5450,724,1406,2467,769,1396,2464,527,1561,2373,485,1569,2363,494,1496,2475
peruvian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,105.3,1.274,*,1,Pink,399,5450,615,1588,2613,427,2047,2823,523,1524,2463,404,1557,2427,357,966,2501
peruvian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,106.8,1.278,*,1,Maroon,400,5900,381,1708,2760,351,2124,2609,529,1207,2376,299,2199,2682,460,1994,2569
peruvian_match_declarative-narrow-focus_David-leia-el-libro,103.5,1.298,*,1,Olive,401,5600,476,1607,2467,320,2233,2844,384,2303,2816,307,2020,2554,413,1565,2361
peruvian_match_declarative-narrow-focus_Emilio-ama-la-marcha,108.2,1.456,*,1,Grey,402,5300,346,2176,2831,344,2051,2436,613,1392,2449,629,1345,2441,652,1448,2546
peruvian_match_declarative-narrow-focus_Manuela-vende-el-carro,105,1.496,*,1,Red,403,5150,484,1332,2468,545,1612,2523,475,1877,2657,435,1785,2467,605,1303,2240
peruvian_match_declarative-narrow-focus_Maria-bebe-el-vino,106.3,1.264,*,1,Blue,404,5300,447,1666,2371,480,2014,2638,442,1834,2485,318,1950,2536,501,1505,2672
peruvian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,103.5,1.55,*,1,Green,405,4700,484,1441,2357,570,1425,2474,446,1501,2490,340,1633,2353,431,1168,2429
peruvian_match_declarative-narrow-focus_Marta-abre-el-regalo,105.9,1.318,*,1,Magenta,406,5450,633,1359,2494,698,1375,2463,479,1659,2506,472,1646,2413,484,1494,2489
peruvian_match_interrogative-partial-wh_Cuando-bebia-el-vino,118.2,1.316,*,1,Black,407,4700,550,1145,2386,410,1308,2476,331,2194,2568,350,1700,2484,517,1397,2410
peruvian_match_interrogative-partial-wh_Cuando-leia-el-libro,119,1.208,*,1,Lime,408,4700,518,1117,2288,431,1458,2631,358,2236,2525,338,2083,2621,476,1443,2389
peruvian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,112.8,1.336,*,1,Purple,409,5000,549,1201,2370,382,1535,2621,493,1614,2409,426,1620,2471,394,1044,2530
peruvian_match_interrogative-partial-wh_Cuando-vendia-el-carro,116.8,1.288,*,1,Teal,410,5450,490,1268,2338,470,1719,2724,369,2163,2757,666,1452,2272,525,1130,2289
peruvian_match_interrogative-partial-wh_Por-que-abre-el-regalo,118.2,1.484,*,1,Navy,411,5450,556,1219,2426,445,2201,2664,497,1595,2457,495,1580,2377,463,1229,2562
peruvian_match_interrogative-partial-wh_Por-que-ama-la-navidad,115.6,1.486,*,1,Pink,412,5600,535,1340,2446,593,2092,2699,609,1450,2657,354,1679,2425,689,1522,2488
peruvian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,107.2,1.448,*,1,Maroon,413,5600,608,1386,2353,520,2082,2703,575,1403,2470,514,1579,2710,612,1248,2639
peruvian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,117.2,1.236,*,1,Olive,414,5450,527,1177,2297,365,2318,2862,459,1079,2397,319,1912,2490,368,2021,2609
peruvian_match_interrogative-total-yn_Ana-lleva-el-abrigo,112,1.334,*,1,Grey,415,4850,639,1544,2403,413,1654,2425,557,1564,2395,300,1965,2421,451,1013,2534
peruvian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,117,1.308,*,1,Red,416,5750,392,1812,2682,384,2115,2629,545,1232,2379,304,2120,2572,436,1747,2581
peruvian_match_interrogative-total-yn_David-leia-el-libro,113.5,1.33,*,1,Blue,417,5300,542,1488,2499,308,2219,2734,374,2347,2913,317,1961,2614,451,1160,2296
peruvian_match_interrogative-total-yn_Emilio-ama-la-marcha,112.2,1.446,*,1,Green,418,5150,389,2214,2892,348,2257,2549,616,1385,2452,614,1369,2405,590,1404,2508
peruvian_match_interrogative-total-yn_Manuela-vende-el-carro,111.3,1.514,*,1,Magenta,419,5000,498,1382,2463,536,1613,2510,442,1938,2645,598,1620,2308,554,1062,2211
peruvian_match_interrogative-total-yn_Maria-bebe-el-vino,113.8,1.31,*,1,Black,420,5150,482,1656,2451,533,1639,2418,434,1821,2444,379,2243,2635,489,1165,2528
peruvian_match_interrogative-total-yn_Mariano-habla-del-tiempo,107.8,1.618,*,1,Lime,421,5300,545,1696,2420,585,1276,2436,445,1517,2486,379,1841,2578,481,918,2571
peruvian_match_interrogative-total-yn_Marta-abre-el-regalo,112.7,1.474,*,1,Purple,422,5450,664,1405,2423,735,1391,2422,467,1562,2412,487,1615,2368,441,1283,2476
peruvian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,99.4,1.734,*,1,Teal,423,5150,411,1714,2427,459,2045,2494,409,1701,2481,403,1961,2488,518,1876,2800
peruvian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,111.4,1.3,*,1,Navy,424,5300,508,1691,2713,384,1685,2442,428,1832,2678,388,1620,2575,485,1536,2606
peruvian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,109.2,1.49,*,1,Pink,425,5450,394,2049,2883,430,1921,2535,452,1623,2642,367,1698,2586,463,1462,2520
peruvian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,102.6,1.696,*,1,Maroon,426,4700,621,1504,2384,511,1783,2423,476,1819,2413,439,1661,2357,309,1810,2515
peruvian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,103.8,1.446,*,1,Olive,427,5300,412,1715,2492,430,1746,2668,576,1448,2500,529,1559,2510,580,1407,2516
peruvian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,111.1,1.516,*,1,Grey,428,5300,445,1412,2417,481,1637,2511,540,1444,2426,527,1440,2393,560,1440,2528
peruvian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,104.8,1.58,*,1,Red,429,5450,397,2256,2674,441,1426,2457,371,2050,2660,423,1491,2479,566,1357,2413
peruvian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,108.3,1.594,*,1,Blue,430,6200,290,2428,3129,561,1982,2939,519,1305,2722,375,1756,2637,369,1751,2595
peruvian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,100.1,1.62,*,1,Green,431,5300,414,1790,2508,463,1893,2373,423,1824,2630,359,2044,2558,457,1846,2796
peruvian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,106,1.38,*,1,Magenta,432,5450,433,1651,2553,368,1755,2453,424,1730,2617,405,1522,2530,524,1582,2563
peruvian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,105,1.522,*,1,Black,433,5450,395,2080,2713,440,1782,2561,462,1760,2689,362,1624,2570,440,1415,2531
peruvian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,99.3,1.694,*,1,Lime,434,4700,598,1460,2285,508,1835,2361,402,1530,2369,419,1506,2351,352,1810,2698
peruvian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,103.5,1.564,*,1,Purple,435,5600,401,1764,2666,450,1917,2696,644,1463,2448,383,1711,2593,596,1417,2527
peruvian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,106.1,1.578,*,1,Teal,436,4700,395,1484,2431,458,1616,2392,506,1162,2381,630,1465,2372,540,1449,2515
peruvian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,101.4,1.444,*,1,Navy,437,5450,436,2018,2648,376,1493,2396,375,1828,2672,593,1496,2505,581,1074,2456
peruvian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,106.3,1.56,*,1,Pink,438,5450,361,2405,3029,569,1692,2728,486,1421,2705,432,1703,2610,352,1655,2603
peruvian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,123.7,1.486,*,1,Maroon,439,5000,517,1312,2375,428,1114,2448,516,1755,2681,370,1469,2476,546,1420,2514
peruvian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,129,1.326,*,1,Olive,440,5000,534,1188,2384,514,1310,2479,536,1336,2448,460,1536,2457,598,1374,2485
peruvian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,115.4,1.404,*,1,Grey,441,5450,479,1208,2457,367,1581,2525,540,1419,2444,369,1539,2480,543,1510,2573
peruvian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,109.9,1.688,*,1,Red,442,4700,483,1199,2237,426,1807,2592,389,1591,2417,365,1962,2429,554,1954,2651
peruvian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,111,1.466,*,1,Blue,443,5150,526,1314,2289,451,1462,2564,566,1402,2506,351,1585,2495,402,1839,2750
peruvian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,119,1.35,*,1,Green,444,4700,460,1233,2277,463,2091,2538,364,1419,2508,383,1651,2569,422,1516,2483
peruvian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,112.6,1.374,*,1,Magenta,445,5450,523,1345,2231,458,1951,2591,434,2022,2791,474,1555,2533,590,1236,2470
