soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
argentine_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna, 6, 0, 1.14, 1.14, 5.27, 5.27, 0.190
argentine_mismatch_declarative-narrow-focus_El-nino-oye-el-rio, 2, 0, 1.35, 1.35, 1.48, 1.48, 0.675
argentine_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris, 5, 0, 1.32, 1.32, 3.78, 3.78, 0.265
argentine_mismatch_declarative-narrow-focus_La-nina-lava-el-plato, 5, 0, 1.26, 1.26, 3.98, 3.98, 0.251
argentine_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta, 7, 0, 1.41, 1.41, 4.98, 4.98, 0.201
argentine_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago, 4, 0, 1.30, 1.30, 3.07, 3.07, 0.325
argentine_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia, 5, 0, 1.28, 1.28, 3.91, 3.91, 0.256
argentine_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta, 6, 0, 1.32, 1.32, 4.54, 4.54, 0.220
argentine_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato, 4, 0, 1.22, 1.22, 3.28, 3.28, 0.305
argentine_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna, 6, 0, 1.17, 1.17, 5.13, 5.13, 0.195
argentine_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien, 4, 0, 1.34, 1.34, 2.97, 2.97, 0.336
argentine_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia, 3, 0, 1.31, 1.31, 2.29, 2.29, 0.437
argentine_mismatch_interrogative-partial-wh_Por-que-oia-el-rio, 3, 0, 1.20, 1.20, 2.51, 2.51, 0.399
argentine_mismatch_interrogative-partial-wh_Por-que-venia-del-lago, 4, 0, 1.15, 1.15, 3.49, 3.49, 0.287
argentine_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris, 6, 0, 1.22, 1.22, 4.92, 4.92, 0.203
argentine_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien, 3, 0, 1.29, 1.29, 2.33, 2.33, 0.430
argentine_mismatch_interrogative-total-yn_El-hombre-mira-la-luna, 5, 0, 1.20, 1.20, 4.18, 4.18, 0.239
argentine_mismatch_interrogative-total-yn_El-nino-oye-el-rio, 2, 0, 1.19, 1.19, 1.68, 1.68, 0.595
argentine_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris, 6, 0, 1.56, 1.56, 3.85, 3.85, 0.260
argentine_mismatch_interrogative-total-yn_La-nina-lava-el-plato, 4, 0, 1.39, 1.39, 2.87, 2.87, 0.349
argentine_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta, 7, 0, 1.50, 1.50, 4.65, 4.65, 0.215
argentine_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago, 4, 0, 1.50, 1.50, 2.67, 2.67, 0.375
