session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
6058c6beb38486c3a1511bd3,5eb46ccc0c06142c0faae377,APPROVED,2021-03-22 16:33:01.963000,2021-03-22 16:47:21.948000,859.985,33,202,0,100,2021-03-24 16:14:44.617000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Hampshire (NH),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6058d239e5b60ef9c740b1ba,6047be65ca7cb2053e6aa926,APPROVED,2021-03-22 17:22:05.813000,2021-03-22 17:39:42.034000,1056.221,23,65,0,100,2021-03-24 16:15:04.299000,3900423D,none just my native langauge,United States,United States,New Hampshire (NH),New Hampshire (NH),Full-Time,I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6058d3f8ed52692d914b4d18,5e9749b44592572013c96868,RETURNED,2021-03-22 17:29:31.291000,,618520.913058,29,350,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6058e37d42615ab85535a6ae,5f2af333a305a1453082fa08,APPROVED,2021-03-22 18:35:44.450000,2021-03-22 18:46:48.181000,663.731,19,190,0,100,2021-03-24 16:15:30.684000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Unemployed (and job seeking),I only know English,Black/African American,Black,,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6058fc98525870df091171b3,55884984fdf99b4021921e67,RETURNED,2021-03-22 20:22:52.237000,,608119.985213,29,1458,6,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6059051ef697d74bb81400dc,5f9858b14dff5d10e5c3cdb3,APPROVED,2021-03-22 20:59:14.418000,2021-03-22 21:11:02.275000,707.857,29,194,2,100,2021-03-24 16:15:54.734000,3900423D,none just my native langauge,United States,United States,Maine (ME),Maine (ME),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6059056f64cae466f498f4eb,5c871f91e769f8000178afc8,RETURNED,2021-03-22 21:00:33.625000,,605858.606592,32,710,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60590683d1b6ded71310e614,5ced8f96a726ed0015d31452,APPROVED,2021-03-22 21:05:11.808000,2021-03-22 21:16:10.605000,658.797,34,1266,1,100,2021-03-24 16:17:02.922000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,English,English,"Faroese, English",No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6059079d1c546f3ea8e4da40,58add4364d580c0001e0bf38,RETURNED,2021-03-22 21:09:53.358000,,605298.881977,31,1902,18,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60590a94d85cc79a71fa207b,5f40de3e899a9b2155b6eabf,APPROVED,2021-03-22 21:22:35.530000,2021-03-22 21:44:24.184000,1308.654,28,355,0,100,2021-03-24 16:17:26.865000,3900423D,native language + one other language,United States,United States,New York (NY),New York (NY),Full-Time,I know one other language in addition to English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
