session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
6056b3c4cdef5d0b0d8625df,558aab19fdf99b65685f0142,APPROVED,2021-03-21 02:47:34.403000,2021-03-21 02:56:38.101000,543.698,33,1959,1,100,2021-03-21 16:18:17.461000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6056b3d35f7fbeb3e25c48f4,5feef07e0ad48b201b5ad5fe,APPROVED,2021-03-21 02:49:04.425000,2021-03-21 03:03:11.350000,846.925,31,160,0,100,2021-03-21 16:18:53.086000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6056b403e04d2a9be6167b77,574eab79c18847000e071119,RETURNED,2021-03-21 02:53:46.664000,,757440.354674,40,1469,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6056b412bb6204a76693b258,5f5550685e8dec926f63cef1,RETURNED,2021-03-21 02:48:50.314000,,757736.704759,26,365,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6056b43c74a8331f64e78567,5e3dff6b8714b707b9a258b0,APPROVED,2021-03-21 02:49:32.387000,2021-03-21 02:59:40.960000,608.573,36,700,1,100,2021-03-21 16:20:11.584000,3900423D,none just my native langauge,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6056b47b88e9765684ea620d,5dd2441687c1fd266f9457f6,RETURNED,2021-03-21 02:50:38.857000,,757628.170465,19,177,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6056b4895f7fbeb3e25c48f8,60485c6bfddf0e195cb18b62,APPROVED,2021-03-21 02:50:52.048000,2021-03-21 03:08:31.989000,1059.941,24,69,0,100,2021-03-21 16:22:23.233000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6056b4ae63455a8ff82f02d8,5adfbd52f6b58c0001fa8f3c,APPROVED,2021-03-21 02:51:38.290000,2021-03-21 03:04:42.078000,783.788,24,836,0,100,2021-03-21 16:22:57.411000,3900423D,none just my native langauge,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6056b518969601947a68554a,5727aecae386b9000f4000cd,APPROVED,2021-03-21 02:53:15.273000,2021-03-21 03:06:11.813000,776.54,37,159,0,100,2021-03-21 16:23:27.036000,3900423D,none just my native langauge,United States,United States,Part-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6056b576d201a5e5238e8a3e,5f3fecd2bc9bac0b4ca93d30,APPROVED,2021-03-21 02:54:46.777000,2021-03-21 03:08:46.215000,839.438,25,533,3,100,2021-03-21 16:23:54.041000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6056b5822ef63f50abb25db5,5fecd5fa7e067ae6bd9cc8d2,APPROVED,2021-03-21 02:55:01.413000,2021-03-21 03:06:08.402000,666.989,33,199,0,100,2021-03-21 16:24:22.447000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6056b5ce0051528f35f1b4f3,5aea962d0ef2f20001858c9c,APPROVED,2021-03-21 02:56:21.454000,2021-03-21 03:09:55.310000,813.856,37,1452,1,100,2021-03-21 16:25:19.771000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6056b6076cf76e0c477b99cb,5d4613a2da9cb60001aa4948,APPROVED,2021-03-21 02:57:15.332000,2021-03-21 03:12:12.898000,897.566,35,788,2,100,2021-03-21 16:25:55.431000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6056b66e8885e4ea4a74d305,5e1a7114a90da52e206de7ea,APPROVED,2021-03-21 02:58:58.079000,2021-03-21 03:11:06.203000,728.124,32,716,0,100,2021-03-21 16:26:25.240000,3900423D,none just my native langauge,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6056b6a4a1a62e04c6faf8b8,5a2e19cca3a512000195866a,APPROVED,2021-03-21 02:59:56.589000,2021-03-21 03:12:36.600000,760.011,25,1512,1,100,2021-03-21 16:27:58.149000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605781e543a9628a43605c18,600fb432c513db1ac78fdbb8,RETURNED,2021-03-21 17:27:44.753000,,705002.35343,40,113,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605781f123650230a15040a3,5fc8232ac3b2ae180fa1a39b,REJECTED,2021-03-21 17:27:13.724000,2021-03-21 18:05:51.710000,2317.986,20,253,1,100,2021-03-21 18:59:10.376000,3900423D,none just my native langauge,United States,United States,Part-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6057830754f90515f6c1b42a,5e92a1a4fc57e20f92eef47f,APPROVED,2021-03-21 17:32:44.916000,2021-03-21 17:47:11.432000,866.516,34,791,3,100,2021-03-21 19:00:38.745000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
60579902982d8dd75410f5f5,5e85088b3f06400f3f75e21f,APPROVED,2021-03-21 19:05:40.870000,2021-03-21 19:19:34.423000,833.553,32,372,1,100,2021-03-21 19:42:03.231000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
