session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
602b20485e466a2528639419,5d159d0a8078020016aa60b9,APPROVED,2021-02-16 01:40:08.842000,2021-02-16 01:47:33.356000,444.514,25,189,1,100,2021-02-16 05:14:38.053000,7BA7FE99,native language + one other language,Chile,Chile,Part-Time,Spanish,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b208b85fd00221e249843,5f0a79cdff3278354b2016b7,APPROVED,2021-02-16 01:31:55.698000,2021-02-16 01:37:25.203000,329.505,19,51,0,100,2021-02-16 05:26:23.088000,7BA7FE99,native language + one other language,Mexico,Mexico,Other,,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b2121330619250d2e291b,5f9a0ecbc94a6808a7ade67f,APPROVED,2021-02-16 01:34:25.597000,2021-02-16 01:46:02.088000,696.491,24,40,3,94,2021-02-16 05:11:09.731000,7BA7FE99,native language + one other language,Spain,Spain,Unemployed (and job seeking),Spanish,DATA EXPIRED,"Spanish, Rather not say, English",No,none,No,I identify myself as a monocultural individual,Spain,Male,Yes,I was raised with my native language only
602b21245f6c242621d27dd8,5f57c66f9524b62ca5ba27d4,APPROVED,2021-02-16 01:34:28.314000,2021-02-16 01:39:10.883000,282.569,21,61,0,100,2021-02-16 14:35:26.967000,7BA7FE99,native language + one other language,Chile,Chile,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b217e64a03425db1228d9,5eead64719f5f9000c21489f,APPROVED,2021-02-16 01:35:58.771000,2021-02-16 01:43:03.314000,424.543,23,4,0,100,2021-02-16 05:15:55.605000,7BA7FE99,native language + one other language,Chile,Chile,Unemployed (and job seeking),Spanish,,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Female,No,I was raised with my native language only
602b2198977e1124cea451bb,5ec840b8011f373089f7dd80,APPROVED,2021-02-16 01:36:56.237000,2021-02-16 01:41:07.438000,251.201,46,79,0,100,2021-02-16 18:16:29.526000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Mexico,Male,No,I was raised with my native language only
602b21fb5e466a24ab83d6d1,5eb79643e837386b41224f11,APPROVED,2021-02-16 01:38:08.989000,2021-02-16 01:44:57.813000,408.824,27,43,2,97,2021-02-16 05:19:37.943000,7BA7FE99,native language + one other language,Chile,,Unemployed (and job seeking),,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Chile,Female,Yes,I was raised with my native language only
602b2205c7be4d24f7943524,5f205f6b941a570ef91368a0,APPROVED,2021-02-16 01:38:13.403000,2021-02-16 01:41:50.291000,216.888,25,71,0,100,2021-02-16 18:19:31.333000,7BA7FE99,native language + one other language,Spain,Spain,Full-Time,Spanish,Spanish,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Spain,Female,No,I was raised with my native language only
602b2224af703b25b4c4ef64,5eb8db02ed810484c85ac7e2,RETURNED,2021-02-16 01:38:44.429000,,60349.433085,18,41,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602b22457597b024d2e7b426,601857c3c3f5ce0c3e5fb913,APPROVED,2021-02-16 01:39:17.546000,2021-02-16 01:46:33.849000,436.303,22,6,0,100,2021-02-16 05:15:17.756000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,No,I was raised with my native language only
602b22a3543ec5243eb5619f,5f6fc883da3c7115753e42e0,APPROVED,2021-02-16 01:40:51.489000,2021-02-16 01:45:13.249000,261.76,27,25,0,100,2021-02-16 18:13:19.019000,7BA7FE99,native language + one other language,Spain,Spain,Full-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Spain,Male,No,I was raised with my native language only
602b22dc6e51ba24ae823aba,5f5c21d8af246b40932ec609,APPROVED,2021-02-16 01:43:36.309000,2021-02-16 01:46:50.703000,194.394,22,29,0,100,2021-02-16 18:20:24.250000,7BA7FE99,native language + one other language,Spain,Spain,Unemployed (and job seeking),Spanish,DATA EXPIRED,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Spain,Male,Yes,I was raised with my native language only
602b22f5e7fec0268fb33554,5f08f3e3ff3278174e40069b,APPROVED,2021-02-16 01:42:57.393000,2021-02-16 01:47:40.643000,283.25,22,51,1,100,2021-02-16 14:35:07.241000,7BA7FE99,native language + one other language,Mexico,Mexico,Other,,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b230f2b8e8823b10fd328,5ffbf64af393a711815a2ede,APPROVED,2021-02-16 01:44:32.802000,2021-02-16 01:50:12.315000,339.513,23,16,0,100,2021-02-16 05:24:37.317000,7BA7FE99,none just my native langauge,Chile,Chile,Part-Time,Spanish,,Spanish,No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b2336a11bc824ca5ebbad,5f3b1f2078bf3c22f24a262c,AWAITING REVIEW,2021-02-16 01:43:18.483000,2021-02-16 01:50:13.975000,415.492,32,89,0,100,,7BA7FE99,native language + one other language,Chile,Chile,Full-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,No,I was raised with my native language only
602b23432e76d0252ba129a9,5f22e7ae938d2d018633624a,APPROVED,2021-02-16 01:43:30.938000,2021-02-16 01:50:47.653000,436.715,27,76,1,100,2021-02-16 05:14:57.944000,7BA7FE99,native language + one other language,Spain,Spain,Unemployed (and job seeking),,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Spain,Male,No,I was raised with my native language only
