28.4700 	EXP 	New trial (rep=0, index=5): OrderedDict([('item_num', 6), ('item', 'I really enjoy caring for other people.'), ('is_test_item', 1), ('is_distractor', 0), ('is_agree_score', 1), ('is_disagree_score', 0)])
28.4983 	EXP 	text_eq_question_trial: autoDraw = False
28.4983 	EXP 	slider_eq_trial: autoDraw = False
28.4983 	EXP 	text_eq_question_trial: text = 'I really enjoy caring for other people.'
28.4983 	EXP 	slider_eq_trial: markerPos = None
28.4983 	EXP 	slider_eq_trial: markerPos = None
28.4983 	EXP 	slider_eq_trial: rating = None
28.4983 	EXP 	text_eq_question_trial: autoDraw = True
28.4983 	EXP 	slider_eq_trial: autoDraw = True
33.8921 	DATA 	Mouse: Left button down, pos=(419,307)
33.9344 	EXP 	slider_eq_trial: markerPos = -0.0035714285714285587
33.9646 	EXP 	slider_eq_trial: markerPos = -0.0035714285714285587
33.9839 	EXP 	slider_eq_trial: markerPos = -0.0035714285714285587
33.9856 	DATA 	Mouse:  Left button up, pos=(419,307)
34.0032 	EXP 	slider_eq_trial: markerPos = 0.0
34.0032 	EXP 	slider_eq_trial: rating = 0.0
34.0049 	EXP 	New trial (rep=0, index=6): OrderedDict([('item_num', 7), ('item', 'I try to solve my own problems rather than discussing them with others.'), ('is_test_item', 0), ('is_distractor', 1), ('is_agree_score', 0), ('is_disagree_score', 0)])
34.0315 	EXP 	text_eq_question_trial: autoDraw = False
34.0315 	EXP 	slider_eq_trial: autoDraw = False
34.0315 	EXP 	text_eq_question_trial: text = 'I try to solve my own problems rather than discussing them with others.'
34.0315 	EXP 	slider_eq_trial: markerPos = None
34.0315 	EXP 	slider_eq_trial: markerPos = None
34.0315 	EXP 	slider_eq_trial: rating = None
34.0315 	EXP 	text_eq_question_trial: autoDraw = True
34.0315 	EXP 	slider_eq_trial: autoDraw = True
36.3743 	DATA 	Mouse: Left button down, pos=(413,321)
36.4171 	EXP 	slider_eq_trial: markerPos = -0.02499999999999991
36.4362 	EXP 	slider_eq_trial: markerPos = -0.02499999999999991
36.4646 	EXP 	slider_eq_trial: markerPos = -0.02499999999999991
36.4837 	EXP 	slider_eq_trial: markerPos = -0.02499999999999991
36.4854 	DATA 	Mouse:  Left button up, pos=(413,321)
36.5145 	EXP 	slider_eq_trial: markerPos = 0.0
36.5145 	EXP 	slider_eq_trial: rating = 0.0
36.5163 	EXP 	New trial (rep=0, index=7): OrderedDict([('item_num', 8), ('item', 'I find it hard to know what to do in a social situation.'), ('is_test_item', 1), ('is_distractor', 0), ('is_agree_score', 0), ('is_disagree_score', 1)])
36.5477 	EXP 	text_eq_question_trial: autoDraw = False
36.5477 	EXP 	slider_eq_trial: autoDraw = False
36.5477 	EXP 	text_eq_question_trial: text = 'I find it hard to know what to do in a social situation.'
36.5477 	EXP 	slider_eq_trial: markerPos = None
36.5477 	EXP 	slider_eq_trial: markerPos = None
36.5477 	EXP 	slider_eq_trial: rating = None
36.5477 	EXP 	text_eq_question_trial: autoDraw = True
36.5477 	EXP 	slider_eq_trial: autoDraw = True
39.6173 	DATA 	Mouse: Left button down, pos=(982,319)
39.6358 	EXP 	slider_eq_trial: markerPos = 2.007142857142857
39.6643 	EXP 	slider_eq_trial: markerPos = 2.007142857142857
39.6836 	EXP 	slider_eq_trial: markerPos = 2.007142857142857
39.7023 	EXP 	slider_eq_trial: markerPos = 2.007142857142857
