e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
392.7,362.9,355.2,346.4,337.5,348.4,339.4,353.6,349.1,367.7,394.2,426.7,418.9,423.4,466.5,497.4,575.2,642,739.5,816
510.3,429.9,399,383.6,398.4,462.5,553.2,604.7,634.1,666.9,698.6,741.2,752.4,779.6,824.5,869.8,909,937.9,964.4,958.1
555.8,499.7,492.6,504.3,507.7,523.5,537.5,562.9,554.1,559.3,584.7,609.7,647.7,676.4,712.6,733.7,744.1,746.5,773.9,832.3
525.3,494.4,462.8,461.8,470.8,484.2,528.7,549.7,562.3,545.6,512.5,505.5,494.1,486.4,485.7,510.8,552,581.5,638.8,665.7
600.6,565.8,510.3,468.9,414.9,417.8,437,487.7,541.7,562.4,578.2,566.3,623.4,700.9,737.2,761.5,784,798.8,788.5,790.5
420,362.9,346.9,355.8,383.2,390.5,392.1,411,446.6,478.4,521.7,553.4,574.8,613.7,598,671.7,744.6,772.8,832.7,912.7
509.9,470.8,478.6,481.5,473.7,463.2,456.9,481,468.4,443.3,423,434.4,461.6,471.9,461.3,486,501.5,550.2,592.9,609
470.7,424.2,410.6,412.5,370.3,390.4,411.2,432.1,432.9,442.1,413.9,417.2,415.7,422.7,433.5,435.1,461.6,524.8,581.1,666.4
436.7,420.1,436.3,458.2,476.5,553.4,588.3,596.2,644.4,696.2,743.8,728.7,775,811.4,853.1,895.5,951.5,1018.1,1060.1,1076.4
451,457.3,468.3,475.6,454.5,433.3,443.9,445.8,446.9,453.6,443.9,448.6,469.2,489.9,510.9,543.3,598.2,637.2,689.8,732.7
448.7,441.8,449.9,458.6,480.6,497.2,502.9,530.3,554,621.4,637,678.4,743.3,772.3,791.9,823.6,900.2,930.4,973.9,1027.3
578.1,567.1,480,418.3,415.4,421.4,425.3,440.8,456.2,503.6,508.4,538.5,538.3,547.7,558.6,602.7,636.8,658.4,725.9,785.5
600.9,510.4,467.1,464.9,464.5,461.5,467.9,507.3,511,526.8,556.2,601.7,624.2,623.4,648,657.3,657.2,715.4,718.3,784.5
408,400,384.3,395,412.3,411.2,409.1,422.1,402.6,381,406.9,467.6,518.3,573.4,608.7,621.2,639.4,636.7,699,746.8
458.6,390.1,388.5,406.3,420.5,438.5,469.8,510.9,553.5,637.2,723.1,742.3,733.5,754.8,811.9,781.2,829.7,861.2,943,1013.4
529.7,499.9,467,466.1,471.5,466.7,467,504.6,521.4,541.3,558.4,606.2,637.6,673.7,703.5,710.6,720.8,725.5,731,744.6
453.2,372.8,363.6,377,395.8,423.9,433.3,450.2,474.7,499.8,540.2,549.6,558.3,578.5,614,624.7,663.5,672.6,690.6,724.9
505.5,414.3,400.2,399,407.6,426.5,471.4,506.8,546.6,549.2,602.5,620,688.9,753.4,794.4,804.9,826.9,844.3,826.6,864.6
435.3,429.1,401,412.2,413.2,426.1,436.4,440.7,459,476.3,479.8,518.2,523.9,569.3,619,661.1,748.7,843.7,896.1,978.2
