a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1389.6,1387.5,1368.9,1436.5,1560.5,1639.7,1694.6,1738.6,1740.5,1744.6,1719.4,1730.6,1762.6,1819.5,1850.1,1889.4,1905.8,1925.2,1967.9,2023.2
1345.5,1406.1,1440,1430,1495.7,1578.5,1612.3,1657.6,1687.8,1730.1,1768.1,1791.1,1805.5,1836.6,1882.1,1921.4,1939.8,1953.3,1986.7,1999
1249.3,1320.2,1380.1,1459.1,1537.6,1597.5,1613.3,1648.5,1675.2,1686.3,1684.2,1691.4,1706.5,1747.1,1801.9,1851.9,1916,1955.2,1975.5,2005.8
1373.6,1434.2,1497,1515.5,1539.4,1571.7,1643.2,1683.4,1728.8,1763,1781.9,1790.8,1793.5,1801,1805.2,1823,1844.7,1918,1983.2,2049.2
1189.5,1221.4,1268.4,1297.6,1339.4,1377.3,1394.9,1425.8,1458.9,1462.6,1454.8,1463.2,1489.8,1503.1,1531.6,1576,1622,1661.3,1718.1,1775
1401.3,1446.9,1478.4,1510.5,1568.1,1611,1680.9,1786.8,1832.8,1868.5,1897.1,1924.7,1943.2,1951.4,1982,2010.6,2035.9,2063.9,2092.1,2130.9
1254.7,1265.6,1303.4,1387.9,1498.4,1596,1619.6,1652.8,1691.3,1738.8,1792.4,1809.1,1836.6,1872.4,1884.9,1895.8,1925.7,1941.1,1961.8,2005.6
1358.6,1408.4,1419.7,1455.8,1561.3,1630.2,1752.6,1834.9,1906.2,1970.2,1996.3,1995.5,1969.3,2019,2047.2,2092.3,2104.4,2130.4,2185.9,2221
1480.4,1546.8,1565.9,1588.4,1661.1,1763.5,1793,1754.4,1825.6,1916,2009.9,2030.1,2048.6,2099.2,2152.2,2191.5,2208.8,2230.2,2249.8,2287
1421.6,1498.9,1508.3,1572.6,1674.2,1790.3,1829.2,1865.8,1874,1886.4,1897.2,1913.6,1933.2,1956.8,2000.2,2034.7,2077.8,2092.6,2132.2,2148
1293.9,1364.6,1412.4,1449.7,1486.8,1531.4,1586.3,1609.5,1632.2,1655.9,1692.8,1713.3,1724.4,1728.8,1755.3,1770.5,1782.1,1806.9,1845.9,1858.8
1478.9,1528.2,1545.2,1556.5,1538.6,1595.8,1719.7,1815.6,1833.1,1859.5,1877,1897.2,1931.8,1948.3,1990.8,1995.8,2041,2081.6,2123.2,2178.6
1381,1437.8,1506.2,1550.7,1616.7,1649.3,1705.4,1757.5,1757.9,1808.3,1838.4,1883.2,1925.9,1973.1,1988.2,2015.5,2030.8,2048.9,2082.1,2125.2
1259.4,1354.5,1422.2,1457,1494.1,1507,1513.3,1525,1533,1566.2,1605,1627.5,1640,1643.6,1651.9,1664.4,1662.6,1686.9,1721.8,1747.6
1523.1,1505.8,1521.3,1596.1,1764.6,1815,1881.3,1914.5,1928.1,1951.4,1969.1,1977.7,1969.9,1988.6,1996.3,2045.3,2071.9,2152.2,2251.2,2265.3
1316.3,1403,1453.2,1583.5,1654.3,1688.6,1694.9,1708.3,1710.9,1710.4,1723.5,1767.2,1802.6,1848.3,1881.5,1929.5,1963.4,1995.2,2029.1,2065.8
1473.8,1562.3,1649.8,1734.8,1793.2,1830.2,1885.6,1911.4,1948.2,1996.8,2044.2,2126.2,2163.1,2196.8,2254.3,2293.7,2318.8,2324.3,2358.5,2393.5
1452,1508.3,1536.7,1633.1,1740.5,1809,1853.4,1922.9,1949.4,1975,1993.8,2026.3,2043.2,2055.5,2122.9,2173.6,2208,2237.6,2273.6,2325.3
1390.9,1470.3,1576,1615.3,1657.4,1693.8,1733,1778.4,1719.6,1760.2,1815.7,1889.6,1922,1926.5,1954,1984.1,2004.8,2033.8,2060.8,2063.2
1357.1,1409.3,1490.3,1541.7,1579.5,1632.5,1643.6,1650.3,1673.3,1680.6,1712.8,1727.8,1744.9,1779.2,1804.7,1838.4,1869.5,1917.2,1980.1,2032.9
1439.1,1526.4,1567.5,1603.4,1654.2,1666.1,1632.1,1648.2,1683.9,1729.7,1829.4,1871.9,1945.4,1963.5,1997.2,2042.9,2086.9,2105,2109.2,2174.9
1522.3,1624,1585.7,1664.6,1716.5,1794.3,1922,1975.3,1985.1,1989.2,1981.8,1993,2016,2045.1,2072,2093.9,2120.7,2139.4,2149.3,2201.1
1463.8,1568.1,1668.8,1757.6,1800,1799.9,1843.3,1877.2,1931.3,2004.7,2025.1,2042.8,2036.8,2042.5,2037.9,2051.2,2101.8,2192.4,2218.6,2240.6
1384.6,1481.2,1543.1,1579.7,1617.3,1619.1,1651.7,1682.6,1698.9,1739.1,1789.4,1866.3,1909.4,1931.4,1954.8,1960.2,1977.7,2030.6,2075,2116
1366.8,1429.2,1557,1661.5,1713.4,1754.4,1801.1,1814.7,1898.4,1960,2020.4,2030.5,2024.9,2050,2098.9,2156,2221.5,2256,2303.5,2337
1504.9,1535.3,1542.2,1684,1794.3,1860.2,1865.6,1901.6,1955.3,1984,2000.8,2014.3,2027.3,2048.3,2061.1,2085.6,2100.3,2131.3,2172,2207.6
1289.6,1380.8,1474.4,1500.4,1597,1681.3,1699.7,1789.6,1800,1860.2,1886.5,1908.7,1892.6,1888.2,1908.4,1954.5,1988.1,2021.6,2069.4,2112.9
1384,1420.3,1451.5,1476.7,1548.3,1614.7,1650.3,1739.3,1763.6,1789.9,1814.4,1842.6,1867.5,1884.1,1897.2,1927.4,1984.2,2039.3,2109.9,2181.9
1475.2,1460,1480.5,1494.2,1560.3,1643.5,1689.8,1717,1772.5,1808.8,1843.7,1851.6,1877.5,1897.2,1932.3,1989.9,2054,2079.1,2153.5,2216.4
1449.3,1550.2,1637.7,1697.2,1778.8,1821.5,1888.6,1925,1959.3,1977.8,1980.6,1976.1,1979.7,1972.2,1999.9,2059.5,2129,2163.8,2216.2,2227.5
1208,1256.1,1305.8,1351.4,1486.1,1545,1534.3,1540.3,1575.2,1596.2,1610.8,1624.8,1614.3,1676.6,1747.5,1818.2,1844.6,1903,1946.7,1955.3
1139.4,1188.1,1252.4,1301.9,1397.6,1441.9,1463.9,1480.1,1493.2,1510,1541.8,1537.5,1534,1528.9,1544.3,1568.7,1590.6,1603.6,1651.8,1795.6
1131.4,1222,1325.2,1451.1,1482.8,1543.5,1581.1,1611.2,1623.8,1626.2,1644.1,1649.2,1678.6,1695.9,1687.9,1738.1,1779.6,1819.7,1907.5,1966.2
1385.8,1482.7,1565.9,1582.3,1566.2,1714.5,1859.8,1944.7,1982.4,2019.1,2033.3,2022.6,2001.5,2012.5,2057.1,2085.5,2170.5,2221.3,2277.2,2326.4
1327.3,1366.1,1407.6,1472.2,1597.9,1717,1750.4,1758.8,1759.9,1764,1756.8,1763.1,1801.8,1820.4,1848.4,1884.9,1941.6,1971.6,2007.4,2039.5
1259.5,1322.5,1425.9,1510.7,1569.8,1639.7,1674.3,1704.2,1735.3,1757,1791.7,1848.8,1915.9,1953.7,1985.8,2051.2,2090.3,2119.4,2146.2,2164.3
1228.1,1307.2,1349.7,1395.4,1459.5,1586.9,1632.9,1709.5,1790.8,1835,1876.2,1898.4,1911.9,1914.3,1932.5,1956.3,1980.3,2022.2,2072.5,2107.2
1574,1672.5,1735.1,1712.5,1743.5,1917.2,1956.5,2026.1,2048.4,2070.1,2090.7,2092.9,2095.2,2091.1,2113.1,2166.2,2193.7,2227.9,2253,2291.5
1523.6,1645.2,1640,1509,1499.4,1566.8,1745.8,1892.6,1991.8,2034.5,2063,2083.8,2088.6,2088.1,2078.8,2071.8,2099.7,2119.9,2159.5,2195.9
1323.5,1432.6,1486,1535.6,1542.3,1598.3,1638.2,1660.7,1695.8,1734.8,1768.3,1809.2,1841.2,1848.2,1853.3,1868.3,1894.4,1920.4,1956.4,1965.3
1449.2,1481,1538.4,1603.6,1749.2,1842.4,1875.8,1970.9,2006.5,2037.1,2064.9,2091.6,2113.2,2126.3,2121.5,2122.6,2109.6,2138.7,2186.8,2243.1
1306.6,1354.3,1450.7,1592.2,1649.8,1716.2,1763.6,1812.4,1849.7,1904.9,1955.7,2009.8,2012.1,2022.8,2044.9,2041.3,2069.5,2109.9,2128.1,2162.5
1185.1,1304.4,1418.3,1476,1528.3,1569.4,1582.6,1658.4,1713,1751,1785.9,1835.8,1853.5,1885.6,1919,1952.7,1963.8,1950.9,1953.8,2004.9
1247,1270.6,1313,1389.9,1462,1552.7,1621.8,1659.7,1664.4,1684.6,1707,1717.2,1726.3,1730.8,1787,1837.1,1872.1,1902.8,1951.5,1996.8
1173.8,1261.6,1402.5,1504,1550.6,1596.4,1633.4,1674.2,1706.6,1749.4,1800,1824.7,1866.1,1869.8,1898.9,1925.7,1969.2,1978.5,1975.6,1986.9
1397.8,1435.7,1447.2,1568.9,1651.4,1780.4,1920.2,1943.2,1963,2008.4,2036.9,2044,2034.4,2064.3,2076.1,2096.3,2122.5,2151.7,2171.6,2223.1
1343.6,1401.6,1468.4,1503.4,1585.1,1664,1641.1,1691.5,1693.3,1752.1,1780.3,1782.9,1796.8,1828.5,1876.7,1919.1,1982.9,2040.7,2149.1,2211.4
1488.6,1561.2,1569.9,1575,1576.8,1580.4,1580.3,1585.1,1626.1,1636.2,1679.8,1714.1,1797.2,1836.6,1878.3,1921.5,1975.4,2015,2033.9,2069.2
1632.4,1655.8,1696.1,1713.2,1729.3,1738.1,1748.4,1749.9,1719,1708.5,1734.8,1798.9,1841.5,1870.9,1922.4,1971.2,2009.5,2025.9,2044.6,2052.3
1744.6,1810.7,1817.4,1831.1,1836.8,1845.4,1835.6,1836.6,1846.1,1846.4,1865,1910.5,1939.1,1967.2,1998.2,2021.4,2056.2,2089.8,2115.1,2168.3
1478.9,1553.8,1606.1,1625.7,1643.6,1651.3,1657.4,1667.8,1659.7,1642.1,1668.5,1715.9,1775.2,1833,1875.1,1903.6,1944.7,1955.8,1978,2009.2
1394.2,1421.3,1510.6,1534.6,1551.4,1555.3,1564.6,1567.2,1585,1603.5,1629.6,1659.6,1711.4,1755.4,1781.1,1798.5,1804.5,1821.4,1819.5,1838
1649.7,1672.2,1689.2,1695.6,1724,1733.1,1751.7,1755.8,1764.2,1771.8,1797.2,1818.9,1838.3,1853.4,1869.4,1886.3,1905.9,1923,1931.9,1936.3
1530.1,1568.7,1602,1632.1,1633.9,1644.3,1650.3,1635.4,1644,1675.5,1708.3,1762.3,1812,1851.8,1887.4,1920.2,1957.9,1977.9,1990.6,2000.4
1462.9,1514.8,1543,1552.2,1557.8,1563.5,1562.5,1554.3,1556.3,1583,1626.2,1684,1712,1740.6,1761.7,1809.6,1826.8,1848.1,1860.3,1883.2
1543.8,1558.8,1562,1560.2,1569.4,1588.1,1621.8,1639.7,1658.8,1684,1733.1,1780.5,1819.8,1872,1918.7,1963.4,2028.6,2063.6,2108.2,2150.7
1648.2,1690.4,1702.7,1716.6,1729.9,1737.2,1743.5,1740.3,1742.2,1748.3,1769.1,1793.1,1821.3,1857.4,1880.6,1924.4,1980.8,2042.2,2090.7,2123.5
1782.5,1804,1808.8,1824,1831.5,1833.7,1857.8,1867.7,1873.2,1878.8,1895.1,1911,1942.2,1963.2,1990.3,2013.9,2050.8,2079.7,2105.1,2139.8
1566.8,1589.1,1602.3,1603.8,1612.5,1624,1645.3,1654.5,1667.5,1681.6,1707.2,1748.5,1791.8,1850.1,1907.4,1946.5,2005.5,2029.8,2079.9,2113.6
1462.6,1509.3,1541.3,1563.5,1574.1,1576.6,1578.1,1582.5,1584.9,1611,1640.8,1678.5,1716.3,1761.7,1792.6,1804.1,1821.2,1830.1,1847.4,1862.7
1710.1,1740.1,1751.2,1779.2,1779,1784.4,1795.7,1801.4,1808.9,1827.6,1849,1864.6,1878.7,1901.3,1923.6,1952.9,1981.1,2011.5,2038.9,2058.4
1521.6,1578,1619.6,1635.1,1633,1659.2,1673.7,1699,1741.6,1782,1804.1,1803.7,1829,1859.3,1868.1,1883,1898.5,1931.2,1976.5,2016.2
1452.3,1484.1,1503.9,1508.5,1512.8,1507.8,1512,1515.9,1522.5,1545.6,1588.3,1628.4,1660.8,1715.4,1731.9,1765,1794.3,1812.4,1852.8,1883.8
1561,1586.7,1599.4,1592,1628.2,1634.6,1647.8,1673.5,1679.6,1663.9,1682.1,1710.6,1746.5,1764.9,1779.6,1837.3,1865,1906.7,1940.6,1959.5
1585,1607.9,1632.7,1657.4,1690.8,1696.6,1705.5,1719.1,1723.9,1736,1743.6,1761.5,1782.2,1801.3,1830.5,1872.7,1895.1,1919.9,1945.2,1976.9
1480.5,1511.5,1523.2,1534.4,1554.4,1562.1,1566.7,1571.6,1594.6,1632,1697.3,1741.2,1810.7,1850.6,1900.7,1947.3,1964.9,1963.8,1981.9,1999.5
1426.6,1436.6,1434.5,1431.8,1441.8,1454.8,1485.3,1521.1,1545.8,1570.6,1582.9,1591.2,1627.2,1651.4,1679,1707.5,1752.5,1774.5,1788.7,1793.8
1512.1,1536.7,1545.4,1546,1553.8,1556.1,1560.6,1565.4,1581.9,1630.4,1666.7,1704.3,1760.4,1790.5,1800,1832.8,1858.5,1878.8,1898.2,1912.2
1427.1,1491.9,1543.2,1566.6,1573.9,1582.9,1587.3,1587.4,1570.5,1602.5,1622.7,1650,1692.5,1723,1736.1,1759.5,1786.3,1789.8,1826.8,1856.7
1344.9,1378.6,1412.4,1422.8,1419.1,1419.5,1423.2,1439.4,1442.7,1456.1,1482.9,1527.4,1571.3,1644.9,1707.4,1746.6,1775.6,1820.2,1825.7,1839.5
1595.2,1605.1,1620.6,1625.3,1630,1630.6,1631.3,1640.6,1650.8,1655.4,1684.5,1739.7,1773.1,1806.1,1840.6,1873.4,1906.7,1897.2,1927.9,1961.7
1466.2,1501.3,1517,1520.9,1520.6,1524.4,1534.9,1537.8,1535.2,1576.2,1632.5,1673.3,1705.6,1756.4,1816.2,1875.8,1944.5,1994.3,2011.5,2028.1
1627.1,1691.4,1702,1710,1719.1,1742.1,1751.3,1764.9,1752.8,1756.6,1792,1836,1874.6,1901.3,1933.7,1958.1,1977.1,1989.6,2006.2,2030.7
1670,1726.5,1731.6,1743.6,1747.8,1761.7,1764,1772.4,1777,1782.4,1798.1,1841.6,1874.9,1930.8,1976.3,2007.6,2038.4,2059.1,2078.4,2115.3
1507,1567.4,1581.8,1580.9,1592.4,1577.8,1575.4,1569.7,1589.6,1582.1,1606.9,1640.2,1701.1,1765.6,1817.4,1872,1906.2,1933.1,1935.1,1960.2
1436,1444.1,1463.2,1469.7,1479.1,1483.8,1491.6,1485,1491,1496.5,1524.1,1559,1599.1,1660.2,1697.8,1731.6,1771.4,1792.2,1817.6,1864
1629.3,1665.2,1697.6,1701.5,1703.9,1705.9,1702.9,1724.2,1727.9,1733.1,1753.1,1783.2,1814.3,1841.7,1862.6,1875.6,1891,1893.1,1908.8,1939.1
1466.4,1534.5,1586.4,1598.8,1603,1605.4,1617.1,1625.5,1629.9,1628.2,1649.8,1683.4,1712.7,1727.9,1762.6,1796.7,1828.1,1867.5,1890,1907.5
1402.4,1445.8,1482.4,1504.1,1511.5,1519.7,1518.4,1526.8,1534.2,1575,1649,1699.2,1737.9,1786.4,1810.7,1826.8,1840.2,1863.4,1894.7,1911.2
1597.2,1630.7,1676.7,1704.2,1722.5,1742.7,1750.7,1748.1,1764.6,1764.3,1750.2,1765.4,1810.6,1864.3,1913.8,1949.5,2001.1,2029.3,2056.2,2076.5
1579,1594.3,1600.1,1603.6,1608.5,1616.2,1614.9,1615.5,1631.5,1645.4,1673.6,1729.8,1795,1823.5,1859.2,1864.7,1859.7,1874.1,1880.7,1918.3
1542.3,1639.1,1672.7,1692,1703.1,1707.6,1730,1734.5,1761.2,1790.4,1808.7,1849.6,1888.1,1965.9,2022.1,2085.4,2099.4,2096.6,2090.1,2093
1509.8,1575.1,1623.8,1675.3,1688.3,1715.3,1732.1,1740.7,1762.6,1779.5,1784.8,1831,1880.1,1923.3,1966.7,2008.1,2062.2,2119.8,2174.8,2217.6
1345.8,1513.6,1643.7,1685.6,1684.7,1694.8,1712.3,1720.7,1716.3,1697.6,1710.9,1740.6,1758.4,1788.2,1805.2,1845.4,1873.7,1896.9,1928.5,1942
1468.7,1494.6,1526.3,1534,1544.1,1551.4,1572.4,1583.8,1598.7,1630.2,1657.7,1682.2,1747,1810.6,1851.4,1887.3,1914.5,1915.2,1907.8,1917.7
1493.6,1517.1,1536,1541,1550,1563.7,1575.2,1569.1,1563,1607.8,1666,1762.2,1840.6,1884.1,1936.5,1982.2,1983,1990.5,2023,2058.1
1542.3,1598.1,1638.3,1700.1,1723.5,1743,1758.1,1765.6,1781.8,1795.2,1771.4,1813.7,1905.7,1959.8,2013.7,2088.9,2143.1,2146,2156.8,2162.2
1629.5,1659.2,1660.2,1681.1,1702.7,1707.1,1706,1692,1690.3,1685.4,1717.3,1769.9,1873.8,1932.8,1977,2005.2,2005.2,1999.9,1998.3,2016.8
1569.2,1587.4,1583,1595.4,1606.5,1612.9,1610.9,1600,1599.7,1611.4,1629.1,1655.7,1693.5,1747.4,1822.4,1857.1,1873.7,1876.7,1899.5,1921
1519.1,1555.6,1594.1,1666.9,1729.2,1759.9,1808.9,1841.9,1812.9,1791.8,1821.9,1909.7,1997.2,2050.3,2106,2149.6,2175.8,2166.9,2149.4,2154.5
1569.4,1612.6,1648,1706,1727.3,1733.7,1749.6,1744.4,1787.9,1818.6,1844,1854.2,1919.4,1956.1,2002.7,2057.5,2106.2,2132.1,2153.4,2197.2
1413.9,1462,1536,1609.5,1634.9,1647,1661.4,1667.7,1676.2,1658.9,1687,1732.4,1750.7,1755.2,1807.7,1835.9,1884.1,1914.5,1925.7,1964.5
1435.6,1510.1,1528.1,1539.1,1544.4,1545.4,1546.4,1557.7,1566.2,1561.3,1592.8,1631.5,1691.7,1746.5,1776.9,1803.2,1812.4,1853.1,1885.9,1941.2
1533.1,1551.5,1577.6,1591.2,1595.9,1612.6,1621.5,1620.6,1614.3,1631,1641.7,1668.9,1719.3,1797.6,1830.5,1860.3,1873.6,1873,1881.9,1886.3
1630.2,1656.7,1713.1,1724.2,1749.5,1749.1,1753.6,1786.1,1794.4,1820.5,1834.2,1876.9,1919.6,1947.7,2035,2082,2121.2,2153.5,2230.3,2285.4
1420.8,1450.5,1467.3,1475.1,1479.7,1477.1,1474.3,1477,1481,1493.5,1503.7,1535.3,1574.3,1653.5,1763.8,1837.1,1919.5,1962.1,1985.8,2018.1
1357,1388.4,1423.9,1442.1,1445.8,1444.3,1444.2,1442.5,1443,1446.2,1453.4,1465.5,1486.7,1541.7,1583.9,1635.1,1725.1,1798.5,1835.5,1833.4
1452.5,1486.6,1508.9,1514.2,1523.9,1532.6,1530.7,1534,1546.5,1558.8,1571.8,1591.5,1614,1668.4,1720.5,1759.3,1804.5,1849.4,1876.4,1900.8
1593.5,1656.4,1671.2,1687.5,1708.4,1715,1737.7,1746.6,1776.4,1803.1,1823.1,1843.8,1867.8,1917.3,1960.6,2018.6,2069.7,2131.5,2176.1,2218.6
1543.8,1572.7,1578.6,1590.6,1611.7,1627.7,1629.7,1639.2,1658.1,1690.8,1697.9,1719.7,1738.4,1805.7,1943.1,2060.3,2122.6,2130.4,2136.4,2140.9
1555.5,1614.7,1640.7,1650,1662.8,1696.6,1708.1,1722.5,1742.7,1734.3,1709.6,1733.2,1772.9,1826.6,1879.1,1961.5,2037.9,2078.9,2121,2145.3
1451.5,1508.8,1542.7,1555.1,1567.6,1566.1,1565.6,1567.2,1579.5,1597.7,1604.1,1632.6,1690.3,1752.3,1850.5,1937.4,1976.3,1995.6,1994.9,2026.2
1729.9,1761.3,1767.3,1772.4,1789.5,1817.8,1832.6,1848.1,1871.5,1915.3,1939.9,1976.2,1998,2051.2,2116.7,2175.1,2251.1,2295.8,2270.2,2354.6
1596.4,1653.6,1683.5,1708,1721.9,1725.3,1729.6,1717.2,1715.2,1727,1736.3,1766.8,1797.8,1839.9,1880.4,1953.9,2005.6,2036.5,2036.8,2034.7
1581.4,1596,1600,1598.5,1599.2,1599,1602.1,1606.9,1623.4,1629.3,1640.7,1667.6,1692.9,1731.8,1810.2,1847.5,1870.2,1873.8,1890.6,1920.8
1681,1710.5,1747.7,1761,1774.4,1789.7,1813,1812.5,1843.8,1859,1883.4,1942,2010.6,2085,2135.2,2189.5,2230.9,2231.9,2255.1,2273.8
1626.7,1679,1738.7,1744.5,1766.2,1772.3,1779.7,1812.7,1841.9,1842.3,1854.5,1869.7,1967.3,2045.6,2091.2,2173.9,2213.9,2276.8,2308.9,2324.5
1558.9,1567.3,1588.1,1594,1602.1,1597.2,1610.7,1604.2,1603.8,1605.3,1612.2,1632.8,1672.7,1699.2,1766.5,1825.4,1874.4,1897.7,1909.7,1919.1
1487,1506,1519,1534.9,1532.9,1535.3,1534.6,1532.3,1531.5,1545.8,1573,1596.4,1662.4,1738.2,1845,1913.6,1963,1995.9,2007.5,2040.7
1533.1,1544.2,1550.4,1555.2,1570,1574.3,1585.6,1603.4,1608.2,1607.9,1624.1,1653.5,1698.5,1761.4,1827.6,1889.3,1953.3,1968.2,1974.3,1985.7
1598.9,1649.2,1665.3,1679.6,1686.2,1695,1700,1703.1,1702.2,1723.9,1742.4,1772.7,1821.1,1877.9,1969.6,2039,2096.5,2122,2129.1,2140.6
1471.4,1508.7,1546.4,1557.4,1536.3,1569,1556.6,1599.6,1623.9,1642.1,1695.5,1770.1,1816.4,1870.9,1915.1,1940.1,1985.7,2043.3,2053,2081.4
1575.5,1619.5,1567.9,1625.4,1729.2,1825.6,1856.7,1872.7,1898.3,1965.7,1974.6,1986.3,2002.7,2031.3,2053.8,2082,2087.8,2093.8,2131.1,2149
1594.2,1616.8,1569.4,1552.1,1668.9,1820.1,1890.7,1925.9,1957.6,1997.4,2009.8,2013.3,2026,2051.3,2070.2,2119.9,2184,2173.8,2177.6,2254.1
1895.6,1946.5,1883.7,1914.9,1975.3,2026.1,2046.8,2063.5,2094.9,2146.7,2170.7,2188.6,2210.6,2227.5,2262.2,2279.2,2294.5,2280.7,2301.4,2338
1586.5,1642.2,1684.3,1767.9,1822.7,1831.2,1829.7,1836.1,1839.1,1860.6,1880.3,1902.6,1924.6,1958.3,1977.9,1987.8,1993.7,2010.3,2050.4,2125.5
1655.3,1686.4,1645.2,1655.7,1762.9,1814.2,1844,1852,1872,1900.3,1916.4,1930.7,1950.8,1976,1984.2,1991.2,2020.3,2050,2087.1,2152.3
1659.8,1594.7,1593.7,1708.7,1873.1,1961.7,1993.9,2012,2042.5,2050.3,2057.8,2066.2,2078.1,2086.5,2091.5,2087.7,2097.8,2117.1,2131.9,2168.6
1563.7,1618.7,1625.7,1599.4,1654.2,1744.6,1778,1801.9,1826.3,1849.8,1900.8,1923,1953,1968.9,1988.4,2000.6,2015.2,2017,2043.2,2071.3
1465.1,1504.1,1541.8,1581.9,1658.2,1696.6,1715.3,1715.5,1718.1,1737.2,1753.4,1798.4,1827.6,1835.2,1854.1,1880,1908.6,1934.6,1964.4,2020.9
1577,1609.3,1625.1,1735.8,1781,1793.4,1819.2,1864.7,1906.9,1977.9,2024.3,2031.5,2009.8,2050.3,2077.4,2077.6,2082.1,2106.9,2130.9,2165
1762.8,1791.2,1783.8,1849.5,1943.9,1966.4,2019.5,2032,2035.9,2041.4,2045.2,2062.5,2076.7,2090.4,2113.5,2159.1,2183.9,2203.1,2242,2302.4
1882.2,1946.6,1971.7,1999,2050.3,2093.5,2099.7,2117.4,2132.2,2139.6,2152,2167.6,2187.7,2193,2205,2220.2,2243.8,2276,2296.4,2339.3
1611.7,1648.7,1672.5,1736,1823.1,1857.1,1881.2,1901.8,1924,1930.2,1944.8,1956.3,1974.6,1996.2,1986.6,1987.7,2009.6,2075.5,2142.6,2232.4
1486.7,1579.9,1586.3,1663.5,1765.7,1777.2,1788.6,1807.6,1828.9,1870,1888.2,1913.7,1926.1,1933.7,1947.6,1962.3,1989.4,2023.6,2033,2075.1
1752.1,1751.7,1706.6,1801.6,1920.7,1976.7,2022.7,2040.7,2058.8,2070.5,2074.2,2079.2,2083.7,2096,2112.4,2123.9,2144,2172.5,2204.1,2234.8
