participant,effect,q_type,estimate,se,lextale_std,eq_std,q_sum
58f0fca0d40252000192f201,drift_rate,yn,1.50589563,0.04534854533262332,-0.3638885412249985,0.3118419297942886,1
58f0fca0d40252000192f201,drift_rate,wh,1.1122547745,0.05189493904418667,-0.3638885412249985,0.3118419297942886,-1
59dba8575cddae0001ff0780,boundary_separation,yn,1.383665625,0.1813719559555003,-0.6589333043804025,-0.7398733580558277,1
59dba8575cddae0001ff0780,boundary_separation,wh,1.58971105,0.281508038133664,-0.6589333043804025,-0.7398733580558277,-1
59dba8575cddae0001ff0780,drift_rate,yn,1.283725885,0.045258746135610727,-0.6589333043804025,-0.7398733580558277,1
59dba8575cddae0001ff0780,drift_rate,wh,1.330114728,0.05207537289849468,-0.6589333043804025,-0.7398733580558277,-1
59dc458f77860e000151240e,boundary_separation,yn,1.125832236,0.14988738875329685,-0.4376497320138495,2.265027464373076,1
59dc458f77860e000151240e,boundary_separation,wh,1.4894788725,0.22489143368773812,-0.4376497320138495,2.265027464373076,-1
59dc458f77860e000151240e,drift_rate,yn,1.64850665,0.03305970469642473,-0.4376497320138495,2.265027464373076,1
59dc458f77860e000151240e,drift_rate,wh,1.502041535,0.04364882984648338,-0.4376497320138495,2.265027464373076,-1
59e91cebae9f950001d8466a,boundary_separation,yn,1.833069955,0.31418867603276474,-0.9539780675358067,-0.8901183991772728,1
59e91cebae9f950001d8466a,boundary_separation,wh,1.0075963135,0.1324142612319308,-0.9539780675358067,-0.8901183991772728,-1
59e91cebae9f950001d8466a,drift_rate,yn,1.212059458,0.07743264973603711,-0.9539780675358067,-0.8901183991772728,1
59e91cebae9f950001d8466a,drift_rate,wh,1.415657035,0.023915529375939826,-0.9539780675358067,-0.8901183991772728,-1
5a0502cb517dfb00013db4a3,boundary_separation,yn,1.33334745,0.1728512421541182,-0.5851721135915515,-1.7164661253452211,1
5a0502cb517dfb00013db4a3,boundary_separation,wh,1.243140817,0.17472803226877698,-0.5851721135915515,-1.7164661253452211,-1
5a0502cb517dfb00013db4a3,drift_rate,yn,1.335123415,0.031352221889309105,-0.5851721135915515,-1.7164661253452211,1
5a0502cb517dfb00013db4a3,drift_rate,wh,1.278048488,0.04355506048312527,-0.5851721135915515,-1.7164661253452211,-1
5a2e19cca3a512000195866a,boundary_separation,yn,1.592469771,0.2206579696309435,0.1524397942969588,-1.4910985636630534,1
5a2e19cca3a512000195866a,boundary_separation,wh,1.7507295505,0.2815201994835843,0.1524397942969588,-1.4910985636630534,-1
5a2e19cca3a512000195866a,drift_rate,yn,1.380942984,0.0659719316130665,0.1524397942969588,-1.4910985636630534,1
5a2e19cca3a512000195866a,drift_rate,wh,1.3678698545,0.07141046402543183,0.1524397942969588,-1.4910985636630534,-1
5acacdcd0527ba0001c24bad,boundary_separation,yn,2.3453984,0.2937793740602829,-0.5114109228027005,-0.9652409197379954,1
5acacdcd0527ba0001c24bad,boundary_separation,wh,1.78483654,0.23955673828982232,-0.5114109228027005,-0.9652409197379954,-1
5acacdcd0527ba0001c24bad,drift_rate,yn,0.8129611,0.11017603796770935,-0.5114109228027005,-0.9652409197379954,1
