variety,condition,sentence_type,item,nsyll,npause,dur (s),phonationtime (s),speech_rate,articulation_rate,avg_syll_dur
Castilian,mismatch,interrogative-partial-wh,Cuando-lavaba-el-plato,4,0,1.33,1.33,3.01,3.01,0.332
Castilian,mismatch,interrogative-partial-wh,Cuando-miraba-la-luna,2,0,1.32,1.32,1.51,1.51,0.662
Castilian,mismatch,interrogative-partial-wh,Por-que-desayuna-muy-bien,4,0,1.52,1.52,2.64,2.64,0.379
Castilian,mismatch,interrogative-partial-wh,Por-que-odiaba-la-lluvia,7,0,1.55,1.55,4.52,4.52,0.221
Castilian,mismatch,interrogative-partial-wh,Por-que-oia-el-rio,6,0,1.36,1.36,4.4,4.4,0.227
Castilian,mismatch,interrogative-partial-wh,Por-que-venia-del-lago,4,0,1.45,1.45,2.76,2.76,0.362
Castilian,mismatch,interrogative-partial-wh,Por-que-vivia-en-Paris,6,0,1.49,1.49,4.04,4.04,0.248
Castilian,mismatch,interrogative-total-yn,El-bebe-comia-muy-bien,5,0,1.47,1.47,3.4,3.4,0.294
Castilian,mismatch,interrogative-total-yn,El-hombre-mira-la-luna,5,0,1.29,1.29,3.87,3.87,0.258
Castilian,mismatch,interrogative-total-yn,El-nino-oye-el-rio,4,0,1.46,1.46,2.74,2.74,0.365
Castilian,mismatch,interrogative-total-yn,La-maestra-vive-en-Paris,6,0,1.76,1.76,3.42,3.42,0.293
Castilian,mismatch,interrogative-total-yn,La-nina-lava-el-plato,4,0,1.45,1.45,2.76,2.76,0.363
Castilian,mismatch,interrogative-total-yn,Mi-madre-come-la-fruta,5,0,1.51,1.51,3.32,3.32,0.302
Castilian,mismatch,interrogative-total-yn,Mi-novio-viene-del-lago,6,0,1.53,1.53,3.91,3.91,0.256
Castilian,mismatch,interrogative-total-yn,Mi-tia-odia-la-lluvia,5,0,1.46,1.46,3.42,3.42,0.292
Chilean,match,declarative-broad-focus,Ana-lleva-el-abrigo,4,0,1.1,1.1,3.64,3.64,0.275
Chilean,match,declarative-broad-focus,Daniel-iba-a-Bolivia,3,0,1.1,1.1,2.73,2.73,0.366
Chilean,match,declarative-broad-focus,David-leia-el-libro,4,0,1.02,1.02,3.92,3.92,0.255
Chilean,match,declarative-broad-focus,Emilio-ama-la-marcha,5,0,1.29,1.29,3.86,3.86,0.259
Chilean,match,declarative-broad-focus,Manuela-vende-el-carro,3,0,1.19,1.19,2.53,2.53,0.396
Chilean,match,declarative-broad-focus,Maria-bebe-el-vino,4,0,0.97,0.97,4.14,4.14,0.242
Chilean,match,declarative-broad-focus,Mariano-habla-del-tiempo,4,0,1.47,1.47,2.72,2.72,0.367
Chilean,match,declarative-broad-focus,Marta-abre-el-regalo,4,0,1.1,1.1,3.64,3.64,0.275
Chilean,match,declarative-narrow-focus,Ana-lleva-el-abrigo,5,0,1.08,1.08,4.62,4.62,0.216
Chilean,match,declarative-narrow-focus,Daniel-iba-a-Bolivia,2,0,0.92,0.92,2.17,2.17,0.46
Chilean,match,declarative-narrow-focus,David-leia-el-libro,6,0,1.13,1.13,5.32,5.32,0.188
Chilean,match,declarative-narrow-focus,Emilio-ama-la-marcha,6,0,1.28,1.28,4.69,4.69,0.213
Chilean,match,declarative-narrow-focus,Manuela-vende-el-carro,4,0,1.01,1.01,3.97,3.97,0.252
Chilean,match,declarative-narrow-focus,Maria-bebe-el-vino,4,0,0.98,0.98,4.06,4.06,0.246
Chilean,match,declarative-narrow-focus,Mariano-habla-del-tiempo,5,0,1.75,1.75,2.86,2.86,0.35
Chilean,match,declarative-narrow-focus,Marta-abre-el-regalo,4,0,1.1,1.1,3.62,3.62,0.276
Chilean,match,interrogative-partial-wh,Cuando-bebia-el-vino,5,0,1.24,1.24,4.03,4.03,0.248
Chilean,match,interrogative-partial-wh,Cuando-leia-el-libro,5,0,1.12,1.12,4.46,4.46,0.224
Chilean,match,interrogative-partial-wh,Cuando-lleva-el-abrigo,6,0,1.17,1.17,5.11,5.11,0.196
Chilean,match,interrogative-partial-wh,Cuando-vendia-el-carro,6,0,1.32,1.32,4.56,4.56,0.219
Chilean,match,interrogative-partial-wh,Por-que-abre-el-regalo,4,0,1.28,1.28,3.13,3.13,0.319
Chilean,match,interrogative-partial-wh,Por-que-ama-la-navidad,5,0,1.19,1.19,4.21,4.21,0.237
Chilean,match,interrogative-partial-wh,Por-que-hablaba-del-agua,7,0,1.49,1.49,4.68,4.68,0.213
