stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
32,statement,C,filler,Luis trabaja todo el día.,white,,,,,0,31,31,31,463.52575866499683,None,463.52575866499683,None,463.52575866499683,None,463.52575866499683,None,463.5430798949674,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
33,question,C,filler,¿Ella compra una mochila?,white,,,,,0,32,32,32,467.5608172349748,None,467.5608172349748,None,467.5608172349748,None,467.5608172349748,None,467.59389692597324,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
34,question,A,filler,¿Mi padre cantaba bien?,white,,,,,0,33,33,33,470.64380193897523,None,470.64380193897523,None,470.64380193897523,None,470.64380193897523,None,470.6726505449624,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
35,question,B,filler,¿La vecina sale muy temprano? ,white,,,,,0,34,34,34,475.2920860769809,None,475.2920860769809,None,475.2920860769809,None,475.2920860769809,None,475.30923308298225,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
36,question,A,filler,¿Mi amiga mira la luna?,white,,,,,0,35,35,35,479.1753442559857,None,479.1753442559857,None,479.1753442559857,None,479.1753442559857,None,479.1919489779975,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
37,question,B,filler,¿Lucía va a la iglesia?,white,,,,,0,36,36,36,482.39225661795354,None,482.39225661795354,None,482.39225661795354,None,482.39225661795354,None,482.4254920319654,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
38,question,A,filler,¿Mi vecino habla mucho?,white,,,,,0,37,37,37,485.2585705780075,None,485.2585705780075,None,485.2585705780075,None,485.2585705780075,None,485.27517711900873,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
39,question,C,filler,¿El estudiante toma apuntes?,white,,,,,0,38,38,38,488.57898216700414,None,488.57898216700414,None,488.57898216700414,None,488.57898216700414,None,488.5903752819868,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
40,question,A,filler,¿La chica abre su libro?,white,,,,,0,39,39,39,492.3928075649892,None,492.3928075649892,None,492.3928075649892,None,492.3928075649892,None,492.4053339919774,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
41,question,B,filler,¿Sandra corre en el parque?,white,,,,,0,40,40,40,495.2418118529604,None,495.2418118529604,None,495.2418118529604,None,495.2418118529604,None,495.2582788449945,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
42,question,A,filler,¿Mi amigo no comía pollo?,white,,,,,0,41,41,41,499.3753903619945,None,499.3753903619945,None,499.3753903619945,None,499.3753903619945,None,499.40887369797565,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
43,question,C,filler,¿Carlos escribe una carta?,white,,,,,0,42,42,42,503.441813464975,None,503.441813464975,None,503.441813464975,None,503.441813464975,None,503.47568637598306,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
44,question,A,filler,¿Jose visitaba la playa?,white,,,,,0,43,43,43,507.2077131389524,None,507.2077131389524,None,507.2077131389524,None,507.2077131389524,None,507.2443986599683,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
45,question,B,filler,¿Mi hermano cierra la puerta?,white,,,,,0,44,44,44,511.3301469179569,None,511.3301469179569,None,511.3301469179569,None,511.3301469179569,None,511.3547105289763,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
46,question,A,filler,¿El chico escribía una carta?,white,,,,,0,45,45,45,514.4079901539953,None,514.4079901539953,None,514.4079901539953,None,514.4079901539953,None,514.4242616209667,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
47,question,C,filler,¿Mi vecino trae comida?,white,,,,,0,46,46,46,569.4059711729642,None,569.4059711729642,None,569.4059711729642,None,569.4059711729642,None,569.4226082129753,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
48,question,A,filler,¿Carlos trae a sus hijos? ,white,,,,,0,47,47,47,594.85600978398,None,594.85600978398,None,594.85600978398,None,594.85600978398,None,594.8688150329981,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
49,question,B,filler,¿Jaime tenía una tienda?,white,,,,,0,48,48,48,609.2214819059591,None,609.2214819059591,None,609.2214819059591,None,609.2214819059591,None,609.238052250992,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
50,question,A,filler,¿Juan quiere un bistec?,white,,,,,0,49,49,49,612.4752468069782,None,612.4752468069782,None,612.4752468069782,None,612.4752468069782,None,612.486915433954,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
51,question,A,filler,¿Carolina baila flamenco? ,white,,,,,0,50,50,50,617.4398627759656,None,617.4398627759656,None,617.4398627759656,None,617.4398627759656,None,617.4717000449891,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
52,question,B,filler,¿Mi familia cenaba tarde?,white,,,,,0,51,51,51,620.9877534129773,None,620.9877534129773,None,620.9877534129773,None,620.9877534129773,None,621.0043037199648,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
53,question,C,filler,¿Pablo lavaba su coche? ,white,,,,,0,52,52,52,624.8709153719828,None,624.8709153719828,None,624.8709153719828,None,624.8709153719828,None,624.8876039639581,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
54,question,A,filler,¿El equipo gana la competencia?,white,,,,,0,53,53,53,628.8373209139681,None,628.8373209139681,None,628.8373209139681,None,628.8373209139681,None,628.8567741320003,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
55,question,C,filler,¿Rogelio cuida a los niños? ,white,,,,,0,54,54,54,633.7545308469562,None,633.7545308469562,None,633.7545308469562,None,633.7545308469562,None,633.7892334139906,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
56,question,A,filler,¿Maria se peina en la mañana?,white,,,,,0,55,55,55,636.7205775110051,None,636.7205775110051,None,636.7205775110051,None,636.7205775110051,None,636.7549486960052,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
57,question,B,filler,¿Lucía compra el jabón?,white,,,,,0,56,56,56,639.9372381859575,None,639.9372381859575,None,639.9372381859575,None,639.9372381859575,None,639.953689300979,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
58,question,A,filler,¿A Jaime le gusta su piso?,white,,,,,0,57,57,57,643.004296277999,None,643.004296277999,None,643.004296277999,None,643.004296277999,None,643.0172307209577,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
59,question,C,filler,¿Isabel puede apagar la luz?,white,,,,,0,58,58,58,646.1701598269865,None,646.1701598269865,None,646.1701598269865,None,646.1701598269865,None,646.1869555659941,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
60,question,A,filler,¿Felipe no tiene contraseña?,white,,,,,0,59,59,59,649.5717550079571,None,649.5717550079571,None,649.5717550079571,None,649.5717550079571,None,649.5867054449627,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
61,question,B,filler,¿El estudiante practica deportes?,white,,,,,0,60,60,60,653.1882731529768,None,653.1882731529768,None,653.1882731529768,None,653.1882731529768,None,653.2199232049752,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
62,question,A,filler,¿Sofia no quiere la revista?,white,,,,,0,61,61,61,657.0691175879911,None,657.0691175879911,None,657.0691175879911,None,657.0691175879911,None,657.0864951759577,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
63,question,C,filler,¿Mi esposo conoce al chico?,white,,,,,0,62,62,62,661.1864215629757,None,661.1864215629757,None,661.1864215629757,None,661.1864215629757,None,661.2031219479977,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
64,question,A,filler,¿Mi hija prefiere los perros?,white,,,,,0,63,63,63,664.8202280380065,None,664.8202280380065,None,664.8202280380065,None,664.8202280380065,None,664.8364592659636,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
